fun_units,SC #46,SC #47,SC #48,SC #49
Conservation,3605898.50927734,11388823.5637207,682735.447753906,10063106.5251465
Forestry,1106600.18237305,41411370.560791,42304213.0917969,39852549.5625
Other,113982.095214844,25690.4851074219,0.0,0.0
Grazing Open,22499810.4985352,19629037.5178223,6252480.6887207,29986989.3051758
Horticulture,82613.0671386719,0.0,0.0,386642.469238281
Urban,1145322.1784668,34650.6752929688,88064.8037109375,0.0
Grazing Forested,21100308.4602051,23585325.9060059,4976814.41259766,37476242.4399414
Dryland Cropping,0.0,0.0,0.0,0.0
Irrigated Cropping,0.0,0.0,0.0,0.0
Water,1053179.10131836,96767.4243164063,311147.714111328,392663.604003906
Sugarcane,6907585.90405273,10116533.8664551,3667643.84521484,846106.084228516
