id,BankFullFlow,bankErosionCoeff,BankHeight_M,bankMgtFactor,eventMeanConcentration,HillSlopeFinePerc,HillslopeFineSDR,Load_Conversion_Factor,RiparianVegPercent,sedBulkDensity,SoilErodibility,SoilPercentFine,USLE_HSDR_Fine,A3,RainThreshold,Beta,LinkLength_M,Link_Slope,LongTermAvDailyFlow,Gully_Management_Practice_Factor,Gully_SDR_Fine,maxRiparianVegEffectiveness,ave_annual
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,27749663.785139263
1,1.15,0.75,0.925,0.95,1.1,1.025,0.75,0.975,1.05,1.025,0.95,1.05,0.925,0.9,1.1,0.9,1.0025,0.975,1.05,0.95,0.925,1.025,22361125.419947572
2,0.85,1.25,1.075,1.05,0.9,0.975,1.25,0.925,0.95,0.975,0.85,0.95,1.075,1.1,0.9,1.1,0.9975,1.025,0.95,1.05,0.975,0.975,32258325.86014757
3,0.925,0.875,1.0375,1.075,0.95,0.9625,0.875,0.9875,1.075,1.0125,0.975,0.975,0.9625,1.05,0.95,1.15,0.9988,1.0375,1.075,0.925,0.9125,0.9625,26441953.49102277
4,1.225,1.375,0.8875,0.975,1.15,1.0125,1.375,0.9375,0.975,0.9625,0.875,1.075,1.1125,0.85,1.15,0.95,1.0038,0.9875,0.975,1.025,0.9625,1.0125,34763889.3801187
5,1.075,0.625,1.1125,1.025,1.05,1.0375,0.625,0.9125,0.925,0.9875,0.825,1.025,0.8875,1.15,1.05,1.05,1.0012,1.0125,0.925,0.975,0.9375,1.0375,25325871.271605052
6,0.775,1.125,0.9625,0.925,0.85,0.9875,1.125,0.9625,1.025,1.0375,0.925,0.925,1.0375,0.95,0.85,0.85,0.9962,0.9625,1.025,1.075,0.9875,0.9875,21670015.760559868
7,0.8125,0.8125,1.1312,0.9875,1.025,0.9812,0.9375,0.9938,1.0875,0.9812,0.9375,0.9125,1.1312,1.175,1.125,1.175,1.0031,1.0312,1.0875,0.9625,0.9188,1.0188,26754126.623572167
8,1.1125,1.3125,0.9812,1.0875,0.825,1.0312,1.4375,0.9438,0.9875,1.0312,0.8375,1.0125,0.9812,0.975,0.925,0.975,0.9981,0.9812,0.9875,1.0625,0.9688,0.9688,32795115.447471194
9,1.2625,0.5625,1.0562,0.9375,0.925,1.0062,0.6875,0.9188,0.9375,1.0062,0.8875,1.0625,1.0562,1.075,0.825,1.075,0.9956,1.0062,0.9375,0.9125,0.9438,0.9938,27233846.837468915
10,0.9625,1.0625,0.9062,1.0375,1.125,0.9562,1.1875,0.9688,1.0375,0.9562,0.9875,0.9625,0.9062,0.875,1.025,0.875,1.0006,0.9562,1.0375,1.0125,0.9938,1.0438,23967951.842770662
11,0.8875,0.6875,0.9438,1.0125,1.175,0.9938,0.5625,0.9062,0.9125,1.0438,0.8625,0.9875,1.0187,0.925,1.075,0.825,1.0019,0.9688,0.9125,0.9875,0.9062,1.0062,20608445.253993917
12,1.1875,1.1875,1.0938,0.9125,0.975,1.0438,1.0625,0.9562,1.0125,0.9938,0.9625,1.0875,0.8688,1.125,0.875,1.025,0.9969,1.0188,1.0125,1.0875,0.9562,0.9562,32503488.217190467
13,1.0375,0.9375,0.8688,1.0625,0.875,1.0188,0.8125,0.9812,1.0625,0.9688,0.9125,1.0375,1.0938,0.825,0.975,0.925,0.9994,0.9938,1.0625,0.9375,0.9312,0.9812,23861037.759170584
14,0.7375,1.4375,1.0187,0.9625,1.075,0.9688,1.3125,0.9312,0.9625,1.0188,0.8125,0.9375,0.9438,1.025,1.175,1.125,1.0044,1.0438,0.9625,1.0375,0.9812,1.0312,29846156.991364148
15,0.7562,0.9688,0.9906,1.0312,0.9125,1.0469,1.0312,0.9844,0.9938,0.9656,0.8188,0.9812,1.0469,1.0625,0.9375,0.8125,1.0028,1.0094,1.0563,0.9062,0.9719,1.0406,20309593.5187056
16,1.0562,1.4688,1.1406,0.9312,1.1125,0.9969,0.5312,0.9344,1.0938,1.0156,0.9188,1.0812,0.8969,0.8625,1.1375,1.0125,0.9978,0.9594,0.9562,1.0062,0.9219,0.9906,30261586.028815784
17,1.2062,0.7188,0.9156,1.0812,1.0125,0.9719,1.2812,0.9094,1.0438,1.0406,0.9688,1.0312,1.1219,1.1625,1.0375,0.9125,0.9953,1.0344,0.9062,0.9562,0.9969,0.9656,28053164.843543477
18,0.9062,1.2188,1.0656,0.9812,0.8125,1.0219,0.7812,0.9594,0.9438,0.9906,0.8688,0.9312,0.9719,0.9625,0.8375,1.1125,1.0003,0.9844,1.0062,1.0563,0.9469,1.0156,28513884.791890346
19,0.9812,0.5938,1.1031,0.9562,0.8625,1.0344,1.4062,0.9219,1.0188,1.0031,0.9938,0.9062,1.0844,0.8125,0.8875,1.1625,1.0016,0.9969,0.9312,0.9312,0.9594,1.0281,28024567.801457293
20,1.2812,1.0938,0.9531,1.0563,1.0625,0.9844,0.9062,0.9719,0.9188,0.9531,0.8938,1.0062,0.9344,1.0125,1.0875,0.9625,0.9966,1.0469,1.0312,1.0312,0.9094,0.9781,31654156.639259093
21,1.1312,0.8438,1.0281,0.9062,1.1625,0.9594,1.1562,0.9969,0.9688,0.9781,0.8438,1.0563,1.0094,0.9125,1.1875,1.0625,0.9991,0.9719,1.0812,0.9812,0.9844,0.9531,28266636.183548905
22,0.8312,1.3438,0.8781,1.0062,0.9625,1.0094,0.6562,0.9469,1.0688,1.0281,0.9438,0.9562,0.8594,1.1125,0.9875,0.8625,1.0041,1.0219,0.9812,1.0812,0.9344,1.0031,21798421.631140854
23,0.7938,0.6562,1.0094,1.0688,1.1375,1.0156,1.4688,0.9156,1.0062,0.9969,0.9312,0.9938,0.9531,0.9375,1.0125,1.1875,0.9959,0.9781,0.9438,0.9688,0.9531,0.9844,27262917.06636059
