,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.437827624,27238717.68041893,27225143.26012979,27253883.19149691,27259040.3467454,27261825.549456976,27272289.908070493,27268081.427938815,27270208.561318222,27247989.445020325,27234118.95258087
10,27235437.437827624,27238717.68041893,21922840.312336877,21942344.44781592,21933507.149742037,21938056.44459119,21942946.98912244,21947021.07332272,21961298.92557426,21933321.480842635,21917479.493170112
9,27235437.437827624,27238717.68041893,21922840.312336877,21600948.059736755,21579289.570757624,21584387.969569493,21594260.454492293,21597586.5149845,21587927.94223232,21575085.862575054,21556490.33166574
8,27235437.437827624,27238717.68041893,21922840.312336877,21064132.97896193,21049307.77707738,21045241.790330913,21045025.55894406,21051757.953975845,21052743.380214334,21033974.95042885,21009407.06049484
7,27235437.437827624,27238717.68041893,21922840.312336877,20582133.945757795,20555700.98527252,20562176.012185268,20585739.99546413,20586571.35001907,20550757.75194305,20555212.513464056,20549540.140151434
6,27235437.437827624,27238717.68041893,21922840.312336877,20582133.945757795,20745466.711346287,20745082.832094193,20771136.749196757,20763055.38025997,20752205.772372257,20555212.513464056,20549540.140151434
5,27235437.437827624,27238717.68041893,21922840.312336877,20448631.156902157,20423968.228535708,20427877.89163027,20440386.558552004,20443716.440835673,20424320.96969747,20431972.067199536,20391362.067394704
4,27235437.437827624,27238717.68041893,21922840.312336877,20407107.38548574,20398287.486204572,20390080.581745967,20408409.46243191,20401177.15256854,20384600.172133937,20408259.01341858,20366100.17812497
3,27235437.437827624,27238717.68041893,21922840.312336877,20407107.38548574,20384748.200843304,20376475.117764927,20396664.44137774,20389382.873955797,20372443.125128686,20397099.969123363,20355737.32020669
2,27235437.437827624,27238717.68041893,21922840.312336877,20407107.38548574,20384748.200843304,20376475.117764927,20396664.44137774,20389382.873955797,20372443.125128686,20397099.969123363,20355737.32020669
1,27235437.437827624,27238717.68041893,21922840.312336877,20407107.38548574,20384748.200843304,20376475.117764927,20396664.44137774,20389382.873955797,20372443.125128686,20397099.969123363,20355737.32020669
