,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.43782763,27238717.680418923,27225143.26012979,27253883.19149691,27259040.34674539,27261825.54945697,27272289.908070505,27268081.427938815,27270208.561318222,27247989.44502032,27234118.95258087
10,27235437.43782763,27238717.680418923,35181711.92490521,35185401.61307248,35186373.9520771,35170528.97602907,35177772.3708436,35192983.263074175,35227426.40587616,35135335.50344591,35130568.13934701
9,27235437.43782763,27238717.680418923,35181711.92490521,35752176.114743546,35739467.42189322,35728275.657976106,35730693.52285268,35747120.99592541,35771202.74853301,35686641.455746576,35679664.60727809
8,27235437.43782763,27238717.680418923,35181711.92490521,35598313.69859178,35586813.65142809,35571667.608715974,35571511.24683091,35587870.856085345,35622647.30755464,35536142.15872243,35535715.413311034
7,27235437.43782763,27238717.680418923,35181711.92490521,35495064.812801465,35480773.65783496,35466240.80453864,35464487.63411321,35481649.48522354,35514364.97733041,35434232.865141466,35431123.9185098
6,27235437.43782763,27238717.680418923,35181711.92490521,35495064.812801465,35556337.20570788,35542080.60249393,35536951.5289255,35554354.56660559,35594083.66428776,35434232.865141466,35431123.9185098
5,27235437.43782763,27238717.680418923,35181711.92490521,35518991.226344675,35512408.19004963,35496405.681284696,35482823.88710891,35500131.16640424,35544234.860870756,35445012.82376165,35430162.19402862
4,27235437.43782763,27238717.680418923,35181711.92490521,35594381.99110692,35591402.4323815,35571950.712448284,35565135.93722835,35579904.71515405,35612660.54276471,35521538.22471791,35514487.18571582
3,27235437.43782763,27238717.680418923,35181711.92490521,35594381.99110692,35570270.60479863,35551578.15646791,35552693.78067186,35567117.44796965,35600196.181813404,35506477.932319,35500615.364362575
2,27235437.43782763,27238717.680418923,35181711.92490521,35594381.99110692,35570270.60479863,35551578.15646791,35552693.78067186,35567117.44796965,35600196.181813404,35506477.932319,35500615.364362575
1,27235437.43782763,27238717.680418923,35181711.92490521,35594381.99110692,35570270.60479863,35551578.15646791,35552693.78067186,35567117.44796965,35600196.181813404,35506477.932319,35500615.364362575
