,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.437827624,27238717.68041893,27225143.260129787,27253883.19149691,27259040.3467454,27261825.549456976,27272289.908070493,27268081.427938815,27270208.561318222,27247989.445020325,27234118.95258087
10,27235437.437827624,27238717.68041893,34294223.07937984,34303001.53626487,34305925.88864667,34293101.528071456,34301387.40063767,34312554.02942911,34340411.523910694,34260744.40640148,34254599.2879058
9,27235437.437827624,27238717.68041893,34294223.07937984,35115648.70700911,35090001.06795785,35086529.76838922,35085574.18359423,35097569.07658156,35099852.532269284,35042058.89815992,35031170.20881358
8,27235437.437827624,27238717.68041893,34294223.07937984,34867277.50881413,34855937.123862736,34850304.13805738,34853778.99860335,34863709.65414451,34875797.664346695,34813601.305884995,34803143.733276986
7,27235437.437827624,27238717.68041893,34294223.07937984,34726529.00606482,34714266.202610694,34698692.34074487,34682829.5666751,34708536.67277479,34758001.481476404,34682868.84226194,34661647.0038073
6,27235437.437827624,27238717.68041893,34294223.07937984,34726529.00606482,34607428.208153374,34608044.730251655,34618237.59081156,34629602.99202799,34655315.820717394,34682868.84226194,34661647.0038073
5,27235437.437827624,27238717.68041893,34294223.07937984,34654702.95467737,34685731.50773737,34682043.0656952,34656105.59804163,34663527.48579746,34734442.04223973,34581896.004534684,34515045.07381853
4,27235437.437827624,27238717.68041893,34294223.07937984,34707232.46851455,34697495.35912126,34697421.946637206,34693980.42369586,34706292.46199317,34728800.42157035,34650959.3727839,34636351.41618869
3,27235437.437827624,27238717.68041893,34294223.07937984,34707232.46851455,34561237.28109242,34562122.83076956,34554417.028640665,34568500.385583505,34619208.08999583,34525741.5973952,34452325.39614435
2,27235437.437827624,27238717.68041893,34294223.07937984,34707232.46851455,34561237.28109242,34562122.83076956,34554417.028640665,34568500.385583505,34619208.08999583,34525741.5973952,34452325.39614435
1,27235437.437827624,27238717.68041893,34294223.07937984,34707232.46851455,34561237.28109242,34562122.83076956,34554417.028640665,34568500.385583505,34619208.08999583,34525741.5973952,34452325.39614435
