,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.437827624,27238717.68041893,27225143.260129787,27253883.19149691,27259040.3467454,27261825.549456976,27272289.908070493,27268081.427938815,27270208.561318222,27247989.445020325,27234118.95258087
10,27235437.437827624,27238717.68041893,35923788.48436065,35922879.79605946,35921997.690409236,35903485.96257422,35909755.44567241,35928629.03015694,35969024.895210266,35865852.90881265,35862291.787384994
9,27235437.437827624,27238717.68041893,35923788.48436065,36696145.453858025,36664872.69502142,36658756.646815404,36655540.886167124,36673919.25722528,36683581.493830144,36608164.12531555,36598473.93928974
8,27235437.437827624,27238717.68041893,35923788.48436065,36540828.72516321,36493473.75583048,36481731.85075717,36456433.00212586,36480866.53209962,36533942.262244955,36443586.17808029,36453065.96477053
7,27235437.437827624,27238717.68041893,35923788.48436065,36588163.740842804,36585949.77212112,36574319.07788262,36600894.346109994,36615334.9947547,36626916.244202696,36523210.51127585,36530140.69614762
6,27235437.437827624,27238717.68041893,35923788.48436065,36588163.740842804,36612236.96540432,36576878.356352925,36518187.88513563,36557958.080311134,36638590.97591565,36523210.51127585,36530140.69614762
5,27235437.437827624,27238717.68041893,35923788.48436065,37358888.74996401,37343309.53376954,37321123.775530435,37294474.49634176,37324845.82765436,37368400.8417418,37258438.86563231,37225705.65600713
4,27235437.437827624,27238717.68041893,35923788.48436065,37532560.4697828,37506965.34123455,37480299.958845645,37466237.098869674,37466820.280141234,37467428.96458327,37452407.28064022,37462724.29854795
3,27235437.437827624,27238717.68041893,35923788.48436065,37532560.4697828,37332976.496308945,37318741.86180784,37306609.622815475,37317300.94278746,37370135.47583695,37361586.92701961,37313892.88927021
2,27235437.437827624,27238717.68041893,35923788.48436065,37532560.4697828,37332976.496308945,37318741.86180784,37306609.622815475,37317300.94278746,37370135.47583695,37361586.92701961,37313892.88927021
1,27235437.437827624,27238717.68041893,35923788.48436065,37532560.4697828,37332976.496308945,37318741.86180784,37306609.622815475,37317300.94278746,37370135.47583695,37361586.92701961,37313892.88927021
