,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,-2.5153524342790145e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.8853210759539784,0.8846097190326118,0.8845321676099911,0.8842136551199758,0.8855869914598127,0.885711418897127,0.8850744097770861,0.8873994254168609,0.8871852156417879
9,0.0,0.0,0.8853210759539784,0.9435614992473527,0.9431159526834869,0.9431663105136083,0.9440662090144144,0.9442597426698908,0.9438644311528541,0.9464604308243174,0.9461574965198738
8,0.0,0.0,0.8853210759539784,0.966532995298823,0.9662852200571851,0.9663957432928597,0.9675322138248792,0.9676382959099056,0.9681546495095928,0.9703490931223413,0.9702761541552869
7,0.0,0.0,0.8853210759539784,0.9774393488232891,0.9768218505562807,0.9767946668099431,0.9773409804459958,0.9775089812118508,0.9781688411576264,0.9804011498495441,0.9793360973058307
6,0.0,0.0,0.8853210759539784,0.9774393488232891,0.9800725600028943,0.9801237165275407,0.9805072354058794,0.9806602473617866,0.9816015438913801,0.9804011498495441,0.9793360973058307
5,0.0,0.0,0.8853210759539784,0.990106548312012,0.9897035989610282,0.9895277583739023,0.9893824180148495,0.9897368145315797,0.9914487378536084,0.9927775697193975,0.9914374525355403
4,0.0,0.0,0.8853210759539784,0.9979098451704099,0.9980248203190856,0.9980049649207327,0.9980257640758485,0.9981482372683149,0.9991636153737067,1.0006759340555869,0.9997362657982387
3,0.0,0.0,0.8853210759539784,0.9979098451704099,0.9995495803175414,0.9994413922323486,0.9995911099237214,0.9995716237085344,0.9999641354650064,1.0014855474494857,1.0009134479628012
2,0.0,0.0,0.8853210759539784,0.9979098451704099,0.9995495803175414,0.9994413922323486,0.9995911099237214,0.9995716237085344,0.9999641354650064,1.0014855474494857,1.0009134479628012
1,0.0,0.0,0.8853210759539784,0.9979098451704099,0.9995495803175414,0.9994413922323486,0.9995911099237214,0.9995716237085344,0.9999641354650064,1.0014855474494857,1.0009134479628012
