,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,-2.706981063800767e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.8027207082256953,0.8011594080685556,0.7999481283534359,0.7982857759577464,0.8008388448046678,0.8004283175973543,0.7946761644799967,0.8030461282699867,0.8016718216676265
9,0.0,0.0,0.8027207082256953,0.8687280820731623,0.8671851078796086,0.8669503475038268,0.867363489481819,0.8671784144678456,0.8635256826644749,0.8718071317846005,0.8724960638727498
8,0.0,0.0,0.8027207082256953,0.9011574346482694,0.89977294290088,0.8982682695702364,0.902483625445421,0.901867968107583,0.9003287993050878,0.903272479661966,0.9030973252240332
7,0.0,0.0,0.8027207082256953,0.9175980075176842,0.9168592167036365,0.9151311614741751,0.9180510305655738,0.9166976196031147,0.9105259017150975,0.9181200890944129,0.9180312993443912
6,0.0,0.0,0.8027207082256953,0.9175980075176842,0.9303999146748412,0.9277954458407559,0.9293785105257916,0.9296030171942427,0.9295208210583692,0.9181200890944129,0.9180312993443912
5,0.0,0.0,0.8027207082256953,0.951077439246285,0.9506929856468698,0.9515169274877696,0.9495624281279056,0.9502626831978098,0.954091905082737,0.949728751964537,0.9482251175424363
4,0.0,0.0,0.8027207082256953,0.9825835401231248,0.9845226710024036,0.9850175731012722,0.9845014607571513,0.9844018441087864,0.9869702882572129,0.9832932245683784,0.9816177050998475
3,0.0,0.0,0.8027207082256953,0.9825835401231248,0.9905493705858385,0.9889529918913058,0.9916026545343579,0.9915109673110468,0.9902814832298424,0.9907497833619241,0.9902409311426663
2,0.0,0.0,0.8027207082256953,0.9825835401231248,0.9905493705858385,0.9889529918913058,0.9916026545343579,0.9915109673110468,0.9902814832298424,0.9907497833619241,0.9902409311426663
1,0.0,0.0,0.8027207082256953,0.9825835401231248,0.9905493705858385,0.9889529918913058,0.9916026545343579,0.9915109673110468,0.9902814832298424,0.9907497833619241,0.9902409311426663
