,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,-2.2384741041214556e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.9525399359729526,0.9517703468311085,0.952266198745924,0.9511761192721244,0.9517806057523771,0.952069236406133,0.9526823831084892,0.9552713418010855,0.9551742483404125
9,0.0,0.0,0.9525399359729526,1.0047546228921296,1.0041024630845872,1.0045488051728153,1.0051225296126582,1.0047114122742105,1.006330127115499,1.0082513779534363,1.0086415880932322
8,0.0,0.0,0.9525399359729526,1.0188555038758798,1.0185079802585115,1.017856843696523,1.0214058732235496,1.0203871641761075,1.0214672569875147,1.02512955810285,1.024579879400654
7,0.0,0.0,0.9525399359729526,1.0317487483078944,1.030239994620624,1.0307436048318745,1.030822237981906,1.0302337096989198,1.033389364930535,1.0347288666182908,1.0325686865838333
6,0.0,0.0,0.9525399359729526,1.0317487483078944,1.0325246393931706,1.0341420906905612,1.0356172791932408,1.0359834458822745,1.035455278706651,1.0347288666182908,1.0325686865838333
5,0.0,0.0,0.9525399359729526,1.0334154464978882,1.031953601987133,1.0306158472371652,1.032688027404964,1.033359572536258,1.032596373792467,1.0351830180055928,1.0346001524344377
4,0.0,0.0,0.9525399359729526,1.015093966255193,1.014088550655184,1.0148332434653957,1.0152551366524558,1.0142758224827984,1.0132567437915703,1.0199199531057572,1.0183038956015458
3,0.0,0.0,0.9525399359729526,1.015093966255193,1.0080830268288348,1.0086434070683423,1.007672584920721,1.0065618667875846,1.0083538228549322,1.0130287799760072,1.0109936767066143
2,0.0,0.0,0.9525399359729526,1.015093966255193,1.0080830268288348,1.0086434070683423,1.007672584920721,1.0065618667875846,1.0083538228549322,1.0130287799760072,1.0109936767066143
1,0.0,0.0,0.9525399359729526,1.015093966255193,1.0080830268288348,1.0086434070683423,1.007672584920721,1.0065618667875846,1.0083538228549322,1.0130287799760072,1.0109936767066143
