,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.437827628,27238717.68041893,27225143.26012979,27253883.191496905,27259040.34674541,27261825.549456976,27272289.908070497,27268081.427938815,27270208.561318222,27247989.44502032,27234118.95258087
10,27235437.437827628,27238717.68041893,29642935.31419643,29501572.710688405,29578415.005576897,29461236.34944415,29590931.11379098,29622249.428894732,29515357.64983957,29462009.653081033,29251565.86553942
9,27235437.437827628,27238717.68041893,29642935.31419643,31145644.426119667,31201872.75763502,31132120.42764312,31232490.362600327,31233428.929828003,31094363.729470544,31121369.241807,30982311.637447383
8,27235437.437827628,27238717.68041893,29642935.31419643,29521340.39367689,29607749.27635272,29558899.94848668,29634570.15368414,29653416.062474266,29617371.130777903,29522953.84406147,29348270.652691852
7,27235437.437827628,27238717.68041893,29642935.31419643,28121650.858144596,28184206.709435184,28141010.079273317,28162317.30964903,28187390.433447946,28234783.078929197,28121821.358083524,27942843.42193925
6,27235437.437827628,27238717.68041893,29642935.31419643,28121650.858144596,29049529.673851416,28988404.95022737,28993388.0485087,29018753.09333476,29078571.280129295,28121821.358083524,27942843.42193925
5,27235437.437827628,27238717.68041893,29642935.31419643,28010627.189796377,28066667.88368067,28023389.67986879,28030860.447263867,28049852.016774323,28025665.478430554,28020527.941682287,27966119.437440306
4,27235437.437827628,27238717.68041893,29642935.31419643,26931651.54527744,26973543.34988661,26938025.915558014,26978666.793991752,27003443.86682447,26983888.477724444,27014196.19436427,27006331.988234326
3,27235437.437827628,27238717.68041893,29642935.31419643,26931651.54527744,27332622.43120453,27294260.7747587,27296296.61441313,27299634.38369091,27306190.864917077,27233364.540878914,27255453.66776188
2,27235437.437827628,27238717.68041893,29642935.31419643,26931651.54527744,27332622.43120453,27294260.7747587,27296296.61441313,27299634.38369091,27306190.864917077,27233364.540878914,27255453.66776188
1,27235437.437827628,27238717.68041893,29642935.31419643,26931651.54527744,27332622.43120453,27294260.7747587,27296296.61441313,27299634.38369091,27306190.864917077,27233364.540878914,27255453.66776188
