,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0.0787265230533902,0.0792104830523128,0.0794874688238096,0.079105096155913,0.08049260350642304,0.08059516397650805,0.07839128337731242,0.07779537584880829,0.07900392939755592
9,0,0,0.0787265230533902,0.102055321502962,0.10179778968841902,0.10175917588448552,0.10273486423385453,0.10286248009820372,0.10073138373970655,0.1003475643260498,0.10172933161560282
8,0,0,0.0787265230533902,0.1140816223026527,0.11348010830658846,0.11336317682881628,0.11450743938909466,0.11439825216513902,0.1115621220071162,0.11232299532214558,0.11420788262661953
7,0,0,0.0787265230533902,0.12191219609554743,0.12149975119023798,0.12132256038673857,0.12243697802534897,0.12241113316142227,0.1194189072577,0.12019695845529392,0.12168823327799473
6,0,0,0.0787265230533902,0.12191219609554743,0.13160172727461833,0.1311473157334688,0.1316957123246583,0.13184134675462666,0.12949777436889878,0.12019695845529392,0.12168823327799473
5,0,0,0.0787265230533902,0.1376276703894949,0.13779515011840612,0.13723477516091673,0.13773782650074357,0.13789764101246685,0.136395602961211,0.13521898732253165,0.13560615295698314
4,0,0,0.0787265230533902,0.1440414568564866,0.1443789126317802,0.14409518061143972,0.14407608378463038,0.1445057954862847,0.14370418511874425,0.14100342126075258,0.14069752912817068
3,0,0,0.0787265230533902,0.1440414568564866,0.1421701262227903,0.14192931271409823,0.14248910181566157,0.14290902953933682,0.14174432594474493,0.13977402535176936,0.1396373411632191
2,0,0,0.0787265230533902,0.1440414568564866,0.1421701262227903,0.14192931271409823,0.14248910181566157,0.14290902953933682,0.14174432594474493,0.13977402535176936,0.1396373411632191
1,0,0,0.0787265230533902,0.1440414568564866,0.1421701262227903,0.14192931271409823,0.14248910181566157,0.14290902953933682,0.14174432594474493,0.13977402535176936,0.1396373411632191
