,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,5.5164019810396974e-117,5.5379907614887264e-117,5.5379907614887264e-117,6.104863149484435e-118,5.516316626638639e-117,5.516316626638639e-117,5.517923257019502e-117,5.517923257019502e-117,6.111760519587193e-118,5.717759319489304e-117,6.1307394448975414e-117
10,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.04607322761596511,0.04714834549113271,0.04558849415661634,0.04165891538252804,0.04398232401961013,0.037144519208909245,0.04168849624143545,0.040025027521181686
9,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.13614160056316976,0.14239465359741843,0.13777678892788373,0.13542265177662904,0.13401300792440976,0.13260419263902207,0.1399887858612655,0.13286442592855802
8,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.4262318277345352,0.43490882780142226,0.4285794922024521,0.4213870765054239,0.4143737744623654,0.41540438633593446,0.43785309406920486,0.438458713693066
7,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.710126849279456,0.7059918579001349,0.7052085669550203,0.7219369592935236,0.718547668015151,0.7397102943415687,0.736599949509162,0.7222696323081355
6,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.710126849279456,0.7953989549912776,0.8023159369113064,0.7909400502995801,0.7948928470355152,0.7823811267661782,0.736599949509162,0.7222696323081355
5,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.8888059963681824,0.8905985948794924,0.8872924735623455,0.8899454863251276,0.889946438251242,0.8784261913059463,0.8966430596924163,0.8854286321209224
4,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.9994593704682527,0.9996564631718329,0.9995892261779491,0.9996507305101188,0.999568717026732,0.9995235468963201,0.9995385334197882,0.9991847989242854
3,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.9994593704682527,0.9995933701060215,0.999773053424658,0.9999058287886561,0.99988927551207,0.999945227923924,0.9999702203167276,0.9999508112999806
2,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.9994593704682527,0.9995933701060215,0.999773053424658,0.9999058287886561,0.99988927551207,0.999945227923924,0.9999702203167276,0.9999508112999806
1,5.5164019810396974e-117,5.5379907614887264e-117,0.05685573794188275,0.9994593704682527,0.9995933701060215,0.999773053424658,0.9999058287886561,0.99988927551207,0.999945227923924,0.9999702203167276,0.9999508112999806
