,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,9.324432038614757e-123,2.9305357835646383e-122,2.9305357835646383e-122,2.9547800905428325e-124,2.9547800905428325e-124,2.9547800905428325e-124,3.11791451166108e-123,3.11791451166108e-123,9.80542414080717e-125,9.80542414080717e-125,9.823955183540093e-123
10,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.16411447756429137,0.16411447756429137,0.16411447756429137,0.14836452078962484,0.14875826970899114,0.14836452078962484,0.16411447756429137,0.13385273551786803
9,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.37012017606173,0.37012017606173,0.37012017606173,0.37012017606173,0.37012017606173,0.37012017606173,0.4006338815832625,0.37012017606173
8,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.7602519228230209,0.7946637387576738,0.7946637387576738,0.7946637387576738,0.7593695685682871,0.7946637387576738,0.7946637387576738,0.7593695685682871
7,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9542189106778983,0.9690010280430694,0.9690010280430694,0.9545884636120272,0.9690010280430694,0.9690010280430694,0.9690010280430694,0.9545884636120272
6,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9542189106778983,0.9802627322900355,0.9802627322900355,0.9802627322900355,0.9802627322900355,0.9690010280430694,0.9690010280430694,0.9545884636120272
5,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9969602438295625,0.9969602438295625,0.9969602438295625,0.9969602438295625,0.9969602438295625,0.9937026761524456,0.9969602438295625,0.9969602438295625
4,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.999999678182
3,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9999999867571524,0.9999999867571524,0.999999999805234,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999993714,0.9999999999993714
2,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9999999867571524,0.9999999867571524,0.999999999805234,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999993714,0.9999999999993714
1,9.324432038614757e-123,2.9305357835646383e-122,0.19957365535779528,0.9999999867571524,0.9999999867571524,0.999999999805234,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999993714,0.9999999999993714
