,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.43782763,27238717.680418923,27225143.26012979,27253883.19149691,27259040.34674539,27261825.54945697,27272289.908070505,27268081.427938815,27270208.561318222,27247989.44502032,27234118.95258087
10,27235437.43782763,27238717.680418923,22062354.688954227,22082372.282013472,22074078.25639116,22078692.226513118,22083809.952319402,22087444.74080928,22101051.533420403,22073771.315341122,22057938.491923507
9,27235437.43782763,27238717.680418923,22062354.688954227,21771875.352465443,21754687.209641304,21759549.899981033,21768182.254926115,21771350.554296974,21768904.72016558,21751679.486443963,21734040.15776238
8,27235437.43782763,27238717.680418923,22062354.688954227,21274421.45095817,21255340.71521244,21255683.31126695,21258826.81584933,21262942.46377791,21256870.001236912,21246275.368449833,21231432.979155794
7,27235437.43782763,27238717.680418923,22062354.688954227,21005404.43922206,20988766.364425346,20991994.505207635,21002290.663962815,21006184.01639622,20995612.029071636,20992191.11957228,20989033.877023168
6,27235437.43782763,27238717.680418923,22062354.688954227,21005404.43922206,21010416.40915182,21012907.274412666,21022675.619457558,21026905.865299188,21018595.9549631,20992191.11957228,20989033.877023168
5,27235437.43782763,27238717.680418923,22062354.688954227,20827963.233292785,20815737.60755611,20819782.923106637,20829214.220989447,20830005.409721967,20814130.22538752,20807175.81089153,20796461.19263965
4,27235437.43782763,27238717.680418923,22062354.688954227,20789469.19472128,20772992.76564579,20771469.156128068,20785217.040106438,20786851.852381065,20770010.57432018,20769276.193933357,20760425.755435396
3,27235437.43782763,27238717.680418923,22062354.688954227,20789469.19472128,20728779.48416391,20729352.73411352,20749131.158182662,20752600.039140187,20745276.887764886,20741782.39973857,20728924.443929017
2,27235437.43782763,27238717.680418923,22062354.688954227,20789469.19472128,20728779.48416391,20729352.73411352,20749131.158182662,20752600.039140187,20745276.887764886,20741782.39973857,20728924.443929017
1,27235437.43782763,27238717.680418923,22062354.688954227,20789469.19472128,20728779.48416391,20729352.73411352,20749131.158182662,20752600.039140187,20745276.887764886,20741782.39973857,20728924.443929017
