,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27235437.437827624,27238717.68041893,27225143.260129787,27253883.19149691,27259040.3467454,27261825.549456976,27272289.908070493,27268081.427938815,27270208.561318222,27247989.445020325,27234118.95258087
10,27235437.437827624,27238717.68041893,22228085.850889694,22248698.339120213,22241039.934329744,22245724.551568814,22251107.668728363,22254232.92899537,22267062.11048032,22240579.77257122,22224760.212038744
9,27235437.437827624,27238717.68041893,22228085.850889694,21927465.21056616,21909859.615731485,21914983.822487682,21924848.758404125,21927203.222634587,21920487.67341366,21906346.96865871,21888241.767380275
8,27235437.437827624,27238717.68041893,22228085.850889694,21494922.02568634,21483571.592321187,21487015.284917448,21492518.68418917,21497940.20827037,21504045.38913687,21478810.48892947,21462541.147015497
7,27235437.437827624,27238717.68041893,22228085.850889694,21333408.656157963,21322436.172544114,21322487.021848947,21344076.854138963,21338582.25741373,21311573.0937505,21328802.562359698,21320093.950155966
6,27235437.437827624,27238717.68041893,22228085.850889694,21333408.656157963,21298046.44248154,21315485.074082073,21334897.73880392,21335771.79375374,21326693.9802916,21328802.562359698,21320093.950155966
5,27235437.437827624,27238717.68041893,22228085.850889694,21379032.32326019,21334672.562092658,21355600.351615995,21293673.422456246,21283861.860073134,21304789.58104462,21325217.97391377,21281616.502891093
4,27235437.437827624,27238717.68041893,22228085.850889694,21199215.74296912,21173410.880438387,21187902.039114397,21207701.085332233,21202527.258080106,21164116.686642393,21197968.05820393,21178831.540660128
3,27235437.437827624,27238717.68041893,22228085.850889694,21199215.74296912,21217156.540639225,21228112.698617037,21214682.781718098,21232568.56384846,21250956.914097354,21191493.155930907,21209825.98590437
2,27235437.437827624,27238717.68041893,22228085.850889694,21199215.74296912,21217156.540639225,21228112.698617037,21214682.781718098,21232568.56384846,21250956.914097354,21191493.155930907,21209825.98590437
1,27235437.437827624,27238717.68041893,22228085.850889694,21199215.74296912,21217156.540639225,21228112.698617037,21214682.781718098,21232568.56384846,21250956.914097354,21191493.155930907,21209825.98590437
