,0,1
nsample_104,20825181.899604805,35484743.21534062
nsample_117,20815932.338252284,35479751.00424465
nsample_130,20769956.321419712,35466273.97719961
nsample_143,20756632.97970082,35444785.458405815
nsample_156,20749363.449001048,35446763.067207165
nsample_169,20753468.4999475,35436836.26573175
nsample_182,20729675.32414034,35415381.07660055
nsample_195,20763519.882399768,35442112.61703967
nsample_208,20739876.78661888,35441841.898512185
nsample_221,20715889.748324588,35354682.646284096
nsample_234,20720301.014540914,35289717.94459783
