,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.551111,0.5500849999999999,0.5500849999999999,0.552995,0.5520280000000001,0.5520280000000001,0.551058,0.551058,0.5530309999999999,0.551985,0.548994
10,0.551111,0.5500849999999999,0.062902,0.064771,0.064503,0.064807,0.06562,0.065167,0.066709,0.06565,0.066033
9,0.551111,0.5500849999999999,0.062902,0.05394200000000002,0.0534,0.053772000000000014,0.054022000000000014,0.05413000000000002,0.054223000000000014,0.05370800000000001,0.05423900000000001
8,0.551111,0.5500849999999999,0.062902,0.039842,0.039591,0.039818000000000006,0.04008300000000001,0.04032000000000001,0.040265,0.039485,0.039473
7,0.551111,0.5500849999999999,0.062902,0.031168000000000005,0.031273,0.031301,0.030800000000000008,0.03088400000000001,0.03025500000000001,0.030361000000000006,0.030808000000000006
6,0.551111,0.5500849999999999,0.062902,0.031168000000000005,0.02854700000000001,0.02832000000000001,0.028662000000000007,0.02853600000000001,0.028957000000000007,0.030361000000000006,0.030808000000000006
5,0.551111,0.5500849999999999,0.062902,0.025028000000000005,0.024931000000000005,0.025099000000000007,0.025016000000000007,0.025013000000000004,0.025519000000000007,0.024631000000000004,0.025064000000000003
4,0.551111,0.5500849999999999,0.062902,0.014223000000000003,0.013941000000000004,0.013986000000000004,0.013969000000000004,0.014111000000000004,0.013984000000000003,0.013960000000000004,0.014685000000000004
3,0.551111,0.5500849999999999,0.062902,0.014223000000000003,0.013943000000000006,0.013278000000000002,0.012491000000000004,0.012511000000000003,0.011468000000000002,0.011004000000000002,0.011768
2,0.551111,0.5500849999999999,0.062902,0.014223000000000003,0.013943000000000006,0.013278000000000002,0.012491000000000004,0.012511000000000003,0.011468000000000002,0.011004000000000002,0.011768
1,0.551111,0.5500849999999999,0.062902,0.014223000000000003,0.013943000000000006,0.013278000000000002,0.012491000000000004,0.012511000000000003,0.011468000000000002,0.011004000000000002,0.011768
