,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.518,0.517,0.517,0.521,0.521,0.521,0.518975,0.518975,0.5219750000000001,0.5219750000000001,0.5179750000000001
10,0.518,0.517,0.048,0.05,0.05,0.05,0.051,0.050975,0.051,0.05,0.052
9,0.518,0.517,0.048,0.041,0.041,0.041,0.041,0.041,0.041,0.04,0.041
8,0.518,0.517,0.048,0.029974999999999998,0.029,0.029,0.029,0.03,0.029,0.029,0.03
7,0.518,0.517,0.048,0.023,0.022,0.022,0.022975,0.022,0.022,0.022,0.022975
6,0.518,0.517,0.048,0.023,0.021,0.021,0.021,0.021,0.022,0.022,0.022975
5,0.518,0.517,0.048,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018
4,0.518,0.517,0.048,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012
3,0.518,0.517,0.048,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009
2,0.518,0.517,0.048,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009
1,0.518,0.517,0.048,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009
