,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.581,0.579025,0.579025,0.582,0.582,0.582,0.581,0.581,0.583,0.582,0.579
10,0.581,0.579025,0.08,0.082,0.082,0.082,0.08202499999999999,0.082,0.084,0.08300000000000002,0.084
9,0.581,0.579025,0.08,0.071,0.06902499999999998,0.071,0.071,0.071,0.07002499999999999,0.071,0.071
8,0.581,0.579025,0.08,0.05102499999999997,0.052,0.052,0.053,0.053024999999999975,0.053,0.052,0.052
7,0.581,0.579025,0.08,0.043,0.043,0.043,0.042,0.042,0.04,0.042,0.04202499999999998
6,0.581,0.579025,0.08,0.043,0.039,0.038,0.038,0.038,0.039,0.042,0.04202499999999998
5,0.581,0.579025,0.08,0.034,0.035,0.035,0.035,0.03402499999999998,0.03402499999999998,0.034,0.03502499999999998
4,0.581,0.579025,0.08,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.019
3,0.581,0.579025,0.08,0.019,0.018,0.018,0.016,0.016024999999999977,0.015,0.015,0.016
2,0.581,0.579025,0.08,0.019,0.018,0.018,0.016,0.016024999999999977,0.015,0.015,0.016
1,0.581,0.579025,0.08,0.019,0.018,0.018,0.016,0.016024999999999977,0.015,0.015,0.016
