,median,mean
1000,28167769.43981157,27181523.66709677
1500,28442235.529917818,27181523.66709677
2000,28224248.25240582,27181523.66709677
2500,28523531.06577065,27181523.66709677
3000,28307582.944665864,27181523.66709677
3500,28307754.781582214,27181523.66709677
4000,28349991.346336644,27181523.66709677
4500,28179146.180219933,27181523.66709677
5000,28276411.966562003,27181523.66709677
5500,28364415.768892013,27181523.66709677
6000,28334878.30379092,27181523.66709677
6500,28370082.57114454,27181523.66709677
7000,28447888.19578385,27181523.66709677
7500,28396767.52232506,27181523.66709677
8000,28380115.823727205,27181523.66709677
8500,28353893.936988488,27181523.66709677
9000,28344829.010635123,27181523.66709677
9500,28271724.358122703,27181523.66709677
10000,28573862.48724514,27181523.66709677
