,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852248,26204336.14365564,26214833.38583527,26213149.18330085,26217966.34671819,26196043.609383877,26182478.937525086
10,26170373.44004055,26176028.025113635,21763570.58534221,21799083.24129484,21788410.04483847,21791830.627181962,21804109.996506784,21812597.51129399,21815321.065928634,21777554.73041958,21760812.92919137
9,26170373.44004055,26176028.025113635,21763570.58534221,21596178.83089128,21578108.238800693,21581691.15491261,21596176.812257513,21603735.640634455,21592303.283960406,21564821.986719485,21548050.565334924
8,26170373.44004055,26176028.025113635,21763570.58534221,21268331.418833435,21246443.458729718,21248310.755875118,21262613.085529495,21269928.50248284,21244009.17770803,21228697.50845461,21217545.8540246
7,26170373.44004055,26176028.025113635,21763570.58534221,21349033.53987924,21330687.496307615,21331449.17385774,21345667.253920194,21354184.087591127,21333149.602291808,21315895.8828799,21304766.2568799
6,26170373.44004055,26176028.025113635,21763570.58534221,21349033.53987924,21295976.37086791,21295520.58587935,21299489.040162392,21305429.334955655,21291051.41812905,21315895.8828799,21304766.2568799
5,26170373.44004055,26176028.025113635,21763570.58534221,21416139.80375176,21401964.910121817,21401500.022674143,21401485.44498325,21406371.19486715,21384494.71562815,21362581.908285156,21344501.174370073
4,26170373.44004055,26176028.025113635,21763570.58534221,21393052.68117238,21361808.806931723,21368651.14355758,21371428.18255473,21373084.416046515,21356252.68143367,21335167.5805363,21313145.791787956
3,26170373.44004055,26176028.025113635,21763570.58534221,21393052.68117238,21307894.231948238,21317464.415885422,21328216.9755703,21331124.44831444,21324394.07752916,21305553.80517967,21281224.824594628
2,26170373.44004055,26176028.025113635,21763570.58534221,21393052.68117238,21307894.231948238,21317464.415885422,21328216.9755703,21331124.44831444,21324394.07752916,21305553.80517967,21281224.824594628
1,26170373.44004055,26176028.025113635,21763570.58534221,21393052.68117238,21307894.231948238,21317464.415885422,21328216.9755703,21331124.44831444,21324394.07752916,21305553.80517967,21281224.824594628
