,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852244,26204336.14365564,26214833.385835268,26213149.18330085,26217966.346718185,26196043.60938387,26182478.93752508
10,26170373.44004055,26176028.025113635,21096940.12470464,21130351.862145647,21117233.989719756,21119981.016863354,21132193.623308193,21143166.01043073,21147054.12660626,21104560.69365883,21087516.97372076
9,26170373.44004055,26176028.025113635,21096940.12470464,20934115.43707431,20905792.5558061,20911834.958508387,20927723.781646416,20938443.301543873,20917591.795499682,20890218.560138796,20872824.650499746
8,26170373.44004055,26176028.025113635,21096940.12470464,20280421.048332114,20256185.918235943,20255698.800700076,20270053.493228942,20282566.93459383,20254934.078010306,20231200.07529343,20217580.23360013
7,26170373.44004055,26176028.025113635,21096940.12470464,20568116.997695833,20544709.87684668,20546439.259559456,20553413.464897707,20570524.75545466,20554758.07205893,20521020.68235875,20500134.80525703
6,26170373.44004055,26176028.025113635,21096940.12470464,20568116.997695833,20469297.247517295,20458590.62429276,20463128.827082667,20480578.541050185,20469367.551556744,20521020.68235875,20500134.80525703
5,26170373.44004055,26176028.025113635,21096940.12470464,20779245.609622575,20763634.255763847,20763155.43769861,20767341.907162588,20781813.390491698,20781657.461849093,20712674.906086937,20665486.832374986
4,26170373.44004055,26176028.025113635,21096940.12470464,20590320.622105606,20567803.654808167,20569780.941320993,20572499.61122834,20585552.257705163,20581873.044335,20514101.414786182,20469201.999998633
3,26170373.44004055,26176028.025113635,21096940.12470464,20590320.622105606,20414703.673262477,20419657.785677668,20442558.86006262,20455082.518996798,20463853.523422323,20393809.674229205,20357916.436389145
2,26170373.44004055,26176028.025113635,21096940.12470464,20590320.622105606,20414703.673262477,20419657.785677668,20442558.86006262,20455082.518996798,20463853.523422323,20393809.674229205,20357916.436389145
1,26170373.44004055,26176028.025113635,21096940.12470464,20590320.622105606,20414703.673262477,20419657.785677668,20442558.86006262,20455082.518996798,20463853.523422323,20393809.674229205,20357916.436389145
