,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852244,26204336.14365564,26214833.385835268,26213149.18330085,26217966.346718185,26196043.60938387,26182478.93752508
10,26170373.44004055,26176028.025113635,22946299.747470725,22985029.06925525,22978362.434939902,22982767.17695427,22995014.798193082,22999513.13226769,23000830.838239945,22970416.30799272,22954290.413764533
9,26170373.44004055,26176028.025113635,22946299.747470725,22640503.612845764,22627459.673738234,22633423.964144908,22648347.13673272,22652515.653771903,22641654.65794165,22618692.14765292,22602751.593980737
8,26170373.44004055,26176028.025113635,22946299.747470725,22416854.044882175,22397417.349950865,22401361.549866293,22402223.857924107,22402834.564325515,22410293.414288986,22390078.121372357,22373100.758022606
7,26170373.44004055,26176028.025113635,22946299.747470725,21951128.97612769,21940846.809719704,21926278.738564007,21948057.96090737,21948474.881174766,21901558.169898894,21923755.45115897,21916570.092101052
6,26170373.44004055,26176028.025113635,22946299.747470725,21951128.97612769,21854071.535955217,21856027.185161155,21856813.41922214,21852744.601323128,21824363.135697536,21923755.45115897,21916570.092101052
5,26170373.44004055,26176028.025113635,22946299.747470725,21733785.02607739,21703665.596754365,21702349.388098698,21691803.903830413,21695699.567640323,21692521.989846483,21680958.909530252,21678556.53159523
4,26170373.44004055,26176028.025113635,22946299.747470725,22068621.58542307,22058351.83050734,22056239.2889153,22061399.199093062,22080664.396018013,22055562.53670718,22021164.510102518,22044644.410203066
3,26170373.44004055,26176028.025113635,22946299.747470725,22068621.58542307,22046705.571045958,22048694.83967012,22066171.006122857,22080606.79534778,22064868.25021383,22058427.193024337,22061943.336368404
2,26170373.44004055,26176028.025113635,22946299.747470725,22068621.58542307,22046705.571045958,22048694.83967012,22066171.006122857,22080606.79534778,22064868.25021383,22058427.193024337,22061943.336368404
1,26170373.44004055,26176028.025113635,22946299.747470725,22068621.58542307,22046705.571045958,22048694.83967012,22066171.006122857,22080606.79534778,22064868.25021383,22058427.193024337,22061943.336368404
