,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852248,26204336.14365564,26214833.38583527,26213149.18330085,26217966.34671819,26196043.609383877,26182478.937525086
10,26170373.44004055,26176028.025113635,34453416.3978527,34467736.7819224,34463978.06612026,34454961.69078557,34450519.52229008,34461952.562347196,34521606.50835991,34449844.60021469,34448462.81117263
9,26170373.44004055,26176028.025113635,34453416.3978527,34241447.42986521,34233921.532902196,34226855.21258678,34222100.097906865,34232327.44426376,34283251.297850244,34219102.83671755,34215370.30106906
8,26170373.44004055,26176028.025113635,34453416.3978527,34617903.5387807,34605447.715159684,34600576.39639405,34591508.00940995,34601134.43846069,34653616.92311577,34594257.39503425,34591039.26416472
7,26170373.44004055,26176028.025113635,34453416.3978527,34547180.63438904,34537472.112285845,34530661.931713,34524210.456772156,34535037.139638506,34588320.588367514,34527486.22639081,34522066.29991131
6,26170373.44004055,26176028.025113635,34453416.3978527,34547180.63438904,34686327.308642656,34676654.905416675,34662764.22506641,34676081.09396495,34736153.40978854,34527486.22639081,34522066.29991131
5,26170373.44004055,26176028.025113635,34453416.3978527,34872054.97944392,34864363.1629737,34856555.82770749,34838018.412014954,34853130.954953834,34917026.491197474,34842100.20255832,34824406.61644649
4,26170373.44004055,26176028.025113635,34453416.3978527,34874965.40390082,34861429.058150284,34857534.3355885,34839356.85099899,34853767.62753203,34907485.1389282,34840930.28649317,34829269.887455024
3,26170373.44004055,26176028.025113635,34453416.3978527,34874965.40390082,34855967.791288495,34856413.02287958,34841652.934284106,34858358.843415305,34919153.69294862,34849994.638336204,34830893.42015837
2,26170373.44004055,26176028.025113635,34453416.3978527,34874965.40390082,34855967.791288495,34856413.02287958,34841652.934284106,34858358.843415305,34919153.69294862,34849994.638336204,34830893.42015837
1,26170373.44004055,26176028.025113635,34453416.3978527,34874965.40390082,34855967.791288495,34856413.02287958,34841652.934284106,34858358.843415305,34919153.69294862,34849994.638336204,34830893.42015837
