,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852244,26204336.14365564,26214833.385835268,26213149.18330085,26217966.346718185,26196043.60938387,26182478.93752508
10,26170373.44004055,26176028.025113635,32812923.59610181,32836892.663690623,32836714.19261257,32832157.832495287,32831909.070311606,32837287.403681826,32880649.748454567,32827282.49186828,32822829.54583314
9,26170373.44004055,26176028.025113635,32812923.59610181,33049245.208541732,33054715.439587094,33039076.462151475,33043203.04394628,33047838.138463773,33097959.722216964,33042004.71801702,33045200.825100273
8,26170373.44004055,26176028.025113635,32812923.59610181,32942740.31466195,32945205.661938123,32937919.254059337,32939392.97901333,32944451.577840418,32990287.389012948,32935513.557927012,32932494.73129805
7,26170373.44004055,26176028.025113635,32812923.59610181,33441210.94211769,33418275.014001682,33423237.427085303,33414105.323653214,33417269.123605683,33455998.458248787,33425300.855475873,33429070.31593079
6,26170373.44004055,26176028.025113635,32812923.59610181,33441210.94211769,33187222.891380567,33196021.570591673,33196662.453021005,33199786.449932244,33243978.198922522,33425300.855475873,33429070.31593079
5,26170373.44004055,26176028.025113635,32812923.59610181,32960778.215539508,32947538.41943509,32959196.94920196,32978438.80846509,32977497.222792502,33025296.687541787,33004485.991162907,33013391.83131548
4,26170373.44004055,26176028.025113635,32812923.59610181,33078083.966127228,33082063.99418272,33082367.619040813,33085919.7732602,33083149.267174684,33112939.042353183,33068667.68025258,33062811.22470405
3,26170373.44004055,26176028.025113635,32812923.59610181,33078083.966127228,33044566.806043014,33056647.062705994,33053319.121123224,33059827.48635798,33090337.42296008,33021848.212107573,33041108.583452955
2,26170373.44004055,26176028.025113635,32812923.59610181,33078083.966127228,33044566.806043014,33056647.062705994,33053319.121123224,33059827.48635798,33090337.42296008,33021848.212107573,33041108.583452955
1,26170373.44004055,26176028.025113635,32812923.59610181,33078083.966127228,33044566.806043014,33056647.062705994,33053319.121123224,33059827.48635798,33090337.42296008,33021848.212107573,33041108.583452955
