,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,26170373.44004055,26176028.025113635,26157247.05476212,26199049.955576472,26199595.808852244,26204336.14365564,26214833.385835268,26213149.18330085,26217966.346718185,26196043.60938387,26182478.93752508
10,26170373.44004055,26176028.025113635,35879375.03261612,35884369.668354094,35876890.92600311,35863610.20478379,35855246.93129261,35872713.90404431,35947742.675607234,35858089.23275517,35859524.477157734
9,26170373.44004055,26176028.025113635,35879375.03261612,35498286.31348485,35489916.682187326,35479790.422980696,35471854.9997313,35487281.09296752,35554468.064771764,35472634.31826385,35471743.376319624
8,26170373.44004055,26176028.025113635,35879375.03261612,35182028.56945979,35177148.17691841,35164755.60747204,35157879.29255749,35172402.90614229,35242937.80829685,35161011.15849778,35163809.718601696
7,26170373.44004055,26176028.025113635,35879375.03261612,35352406.67872946,35343421.765318125,35343363.274442345,35345479.1093281,35355437.80564521,35399950.181856126,35329159.96737501,35332403.25423145
6,26170373.44004055,26176028.025113635,35879375.03261612,35352406.67872946,36340692.28565636,36325773.01974273,36298546.55084543,36315053.4477513,36391679.481335334,35329159.96737501,35332403.25423145
5,26170373.44004055,26176028.025113635,35879375.03261612,36528000.735508434,36541214.303622365,36528917.68293014,36500417.20737325,36516231.74658342,36591252.9909752,36461336.21154956,36439421.72856814
4,26170373.44004055,26176028.025113635,35879375.03261612,36278137.30317685,36277972.47673514,36268392.81616798,36226278.84129359,36251933.35415019,36341256.53356649,36198346.991732776,36169042.62675308
3,26170373.44004055,26176028.025113635,35879375.03261612,36278137.30317685,36329386.728085496,36324408.13941158,36286712.20901635,36313007.22597538,36391246.64292452,36248377.60466254,36218832.1316809
2,26170373.44004055,26176028.025113635,35879375.03261612,36278137.30317685,36329386.728085496,36324408.13941158,36286712.20901635,36313007.22597538,36391246.64292452,36248377.60466254,36218832.1316809
1,26170373.44004055,26176028.025113635,35879375.03261612,36278137.30317685,36329386.728085496,36324408.13941158,36286712.20901635,36313007.22597538,36391246.64292452,36248377.60466254,36218832.1316809
