,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.9112095443988899,0.9122735266561334,0.9117622137038901,0.9128144920622357,0.9118741346060095,0.9098147229481757,0.9091846380364168,0.9138513482506878,0.9164470017602186
9,0.0,0.0,0.9112095443988899,0.9105895700206005,0.9103412427655646,0.9115193508124938,0.9103969665247935,0.9083213101910631,0.9080871847736175,0.9125526431870176,0.9149785263729854
8,0.0,0.0,0.9112095443988899,0.9613066770007676,0.9609222461093757,0.9624903601891558,0.9610850019673952,0.9588573793884363,0.9595101117046866,0.9638459227159077,0.9659864555522468
7,0.0,0.0,0.9112095443988899,0.9504025156755863,0.949972984023885,0.9514576315025791,0.9502438343442958,0.948043131003,0.9484595548941241,0.9527425407724217,0.9547043864288783
6,0.0,0.0,0.9112095443988899,0.9504025156755863,0.9631770341809794,0.9645713422497795,0.9635640036717501,0.961694550960265,0.9620498644575259,0.9527425407724217,0.9547043864288783
5,0.0,0.0,0.9112095443988899,0.9689644722185993,0.9683594464701856,0.969899929855532,0.9688462837169,0.9671686782683286,0.9683058089503369,0.9720639358441777,0.9736727480119498
4,0.0,0.0,0.9112095443988899,0.9708365633483419,0.9710368500841535,0.9723383575180816,0.9711100826234242,0.9696086489554745,0.9696439162047531,0.9739565291519088,0.9762888728892674
3,0.0,0.0,0.9112095443988899,0.9708365633483419,0.9745221294341704,0.9759472940520245,0.9743914029735365,0.9729568791263388,0.9727584553438298,0.9767457692223618,0.978711839840737
2,0.0,0.0,0.9112095443988899,0.9708365633483419,0.9745221294341704,0.9759472940520245,0.9743914029735365,0.9729568791263388,0.9727584553438298,0.9767457692223618,0.978711839840737
1,0.0,0.0,0.9112095443988899,0.9708365633483419,0.9745221294341704,0.9759472940520245,0.9743914029735365,0.9729568791263388,0.9727584553438298,0.9767457692223618,0.978711839840737
