,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911,0.58911
10,0.58911,0.58911,0.11634000000000001,0.11655000000000001,0.11660000000000002,0.11658000000000002,0.11935000000000003,0.11889000000000001,0.11724000000000001,0.11642000000000001,0.11386000000000003
9,0.58911,0.58911,0.11634000000000001,0.10373000000000002,0.10468000000000001,0.10457000000000001,0.1044,0.10520000000000002,0.10616000000000002,0.10604000000000002,0.10349000000000001
8,0.58911,0.58911,0.11634000000000001,0.10676000000000002,0.10695000000000002,0.10708000000000001,0.10708000000000001,0.10684000000000002,0.10494000000000002,0.10913000000000002,0.10643000000000001
7,0.58911,0.58911,0.11634000000000001,0.10249000000000001,0.10246000000000001,0.10192000000000001,0.10319000000000002,0.10385000000000001,0.10101000000000002,0.10220000000000001,0.10430000000000002
6,0.58911,0.58911,0.11634000000000001,0.10249000000000001,0.0979,0.09708000000000001,0.09548000000000002,0.09538000000000002,0.09199,0.10220000000000001,0.10430000000000002
5,0.58911,0.58911,0.11634000000000001,0.09731000000000004,0.09580000000000001,0.09596000000000002,0.09623000000000002,0.09689000000000002,0.09395000000000002,0.09577000000000001,0.09642000000000002
4,0.58911,0.58911,0.11634000000000001,0.06005000000000002,0.06018000000000002,0.06150000000000001,0.057900000000000014,0.05758000000000001,0.06261000000000001,0.06393000000000001,0.058700000000000016
3,0.58911,0.58911,0.11634000000000001,0.06005000000000002,0.054070000000000014,0.05273000000000001,0.05011000000000001,0.05013000000000001,0.06071000000000001,0.05184000000000002,0.05124000000000001
2,0.58911,0.58911,0.11634000000000001,0.06005000000000002,0.054070000000000014,0.05273000000000001,0.05011000000000001,0.05013000000000001,0.06071000000000001,0.05184000000000002,0.05124000000000001
1,0.58911,0.58911,0.11634000000000001,0.06005000000000002,0.054070000000000014,0.05273000000000001,0.05011000000000001,0.05013000000000001,0.06071000000000001,0.05184000000000002,0.05124000000000001
