,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
10,0.51,0.51,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
9,0.51,0.51,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
8,0.51,0.51,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
7,0.51,0.51,0.08,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.07
6,0.51,0.51,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
5,0.51,0.51,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07
4,0.51,0.51,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
3,0.51,0.51,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2,0.51,0.51,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
1,0.51,0.51,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
