,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
10,0.68,0.68,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
9,0.68,0.68,0.17,0.15,0.15,0.15024999999999977,0.15,0.15,0.16,0.15,0.15
8,0.68,0.68,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16
7,0.68,0.68,0.17,0.16,0.16,0.16,0.16,0.16,0.15024999999999977,0.16,0.16
6,0.68,0.68,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.16,0.16
5,0.68,0.68,0.17,0.14,0.13,0.13,0.13,0.13024999999999978,0.13,0.14,0.13024999999999978
4,0.68,0.68,0.17,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.08
3,0.68,0.68,0.17,0.09,0.08,0.08,0.07,0.07,0.1,0.08,0.07
2,0.68,0.68,0.17,0.09,0.08,0.08,0.07,0.07,0.1,0.08,0.07
1,0.68,0.68,0.17,0.09,0.08,0.08,0.07,0.07,0.1,0.08,0.07
