,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13,3.199213263934467e-13
10,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.5295228564599151,0.5303279481249837,0.5297845679039539,0.5028675384603167,0.5074472655959087,0.5235592397062496,0.531798500713963,0.5567102116826156
9,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.655797472193299,0.6465656648870933,0.647489134412298,0.649367049939526,0.6416980179245237,0.6324293157029811,0.6339855088677187,0.6572291382284514
8,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.6304770347435356,0.6286272647834744,0.6273231461451921,0.627146050476359,0.6293250711020043,0.6473427632067831,0.6074096298202621,0.6337143123418452
7,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.6685937727561737,0.6688241728449953,0.6737571276979823,0.6624819995177318,0.6558296743049256,0.6837463350769537,0.6723155899113477,0.6530301753343772
6,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.6685937727561737,0.7126480502565077,0.7204076115123514,0.7358742186036697,0.7367406301989763,0.767703721202849,0.6723155899113477,0.6530301753343772
5,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.7214215370457171,0.7361390064691491,0.7351321133962481,0.7326031298450835,0.7261667316728733,0.7544284809392477,0.7351004243194663,0.7304464264383435
4,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.974398080518403,0.9743163760042014,0.9715845834368648,0.9800421600054819,0.980195884490399,0.9641836600993762,0.9583439957978781,0.9809836723024539
3,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.974398080518403,0.9890620754605745,0.9916023607431573,0.9940957586646205,0.9931031775659825,0.9665429310170828,0.9929258256394913,0.9944525994497949
2,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.974398080518403,0.9890620754605745,0.9916023607431573,0.9940957586646205,0.9931031775659825,0.9665429310170828,0.9929258256394913,0.9944525994497949
1,3.199213263934467e-13,3.199213263934467e-13,0.5330517338766636,0.974398080518403,0.9890620754605745,0.9916023607431573,0.9940957586646205,0.9931031775659825,0.9665429310170828,0.9929258256394913,0.9944525994497949
