,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22,2.6207113475674983e-22
10,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192
9,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.21117008625127576,0.21117008625127576,0.20976180075779013,0.21117008625127576,0.21117008625127576,0.1548386665118475,0.21117008625127576,0.21117008625127576
8,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.11119526053829192,0.1548386665118475,0.1548386665118475,0.1548386665118475,0.11119526053829192,0.1548386665118475
7,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.1548386665118475,0.1548386665118475,0.1548386665118475,0.1548386665118475,0.1548386665118475,0.20976180075779013,0.1548386665118475,0.1548386665118475
6,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.1548386665118475,0.21117008625127576,0.21117008625127576,0.21117008625127576,0.21117008625127576,0.2819416298082479,0.1548386665118475,0.1548386665118475
5,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.2819416298082479,0.36818778606286096,0.36818778606286096,0.36818778606286096,0.36603163215649576,0.36818778606286096,0.2819416298082479,0.36603163215649576
4,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.8154147124661313,0.8154147124661313,0.8154147124661313,0.8154147124661313,0.8154147124661313,0.7020569828664881,0.7020569828664881,0.9084105017744525
3,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.8154147124661313,0.9084105017744525,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.7020569828664881,0.9084105017744525,0.9684099261397212
2,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.8154147124661313,0.9084105017744525,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.7020569828664881,0.9084105017744525,0.9684099261397212
1,2.6207113475674983e-22,2.6207113475674983e-22,0.11119526053829192,0.8154147124661313,0.9084105017744525,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.7020569828664881,0.9084105017744525,0.9684099261397212
