,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12,3.319419024623016e-12
10,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525,0.9084105017744525
9,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212
8,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212
7,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9684099261397212,0.9684099261397212,0.9942356257694902,0.9942356257694902,0.9684099261397212
6,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9942356257694902,0.9684099261397212
5,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9684099261397212,0.9942356257694902,0.9684099261397212
4,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263
3,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263
2,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263
1,3.319419024623016e-12,3.319419024623016e-12,0.9084105017744525,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263,0.999998821968263
