,ST,ST_conf_lower,ST_conf_upper
bankErosionCoeff,0.7595943385080685,0.7524145772875895,0.7657894799188227
eventMeanConcentration,0.018394927974474232,0.016269779974657755,0.02042212267645658
HillslopeFineSDR,0.01573895649067478,0.013938969718506689,0.01784369890161426
RiparianVegPercent,0.08197904882628268,0.07799704411811063,0.08621735208210009
USLE_HSDR_Fine,0.05200259781390518,0.04916254881494006,0.055246550863160715
A3,0.00029205975162507734,0.00010235020629450158,0.000679286692776656
RainThreshold,0.000921415838163266,0.0005763975671601934,0.0013707607486665744
Beta,0.06254002261465688,0.05904703596785426,0.06578889024508944
LongTermAvDailyFlow,0.022328143395638808,0.01998689440694499,0.02486470469608212
Gully_Management_Practice_Factor,0.0003053566494699497,9.335314687531077e-05,0.0006955669901437606
maxRiparianVegEffectiveness,0.00022104713663496272,7.076592534605093e-05,0.0006103413999933502
