,ST,ST_conf_lower,ST_conf_upper
bankErosionCoeff,0.9162636318462954,0.9091391942023292,0.9227177646993914
eventMeanConcentration,0.0033212852266241034,0.0024441534903575893,0.004303732689368788
HillslopeFineSDR,0.005837319730504155,0.003995896595906337,0.008119280931139936
RiparianVegPercent,0.054048633922516034,0.048274406284599655,0.06033088446448108
USLE_HSDR_Fine,0.008927990849212277,0.007316806722235858,0.010764437671092275
A3,0.00014347601288360778,2.779168465805725e-05,0.0004668432407060743
RainThreshold,0.00017467380420492978,8.138178700840639e-05,0.00043606163825758937
Beta,0.01099113435425529,0.009048457457943127,0.01327111918230631
LongTermAvDailyFlow,0.01553290417296158,0.012738820951847599,0.01843442493440761
Gully_Management_Practice_Factor,0.00017624797194387972,3.92069965896728e-05,0.0005827462137395199
maxRiparianVegEffectiveness,7.596403626140072e-05,1.7491447032086013e-05,0.00026506963561921524
