,ST,ST_conf_lower,ST_conf_upper
bankErosionCoeff,0.7626839551638618,0.6626710285324839,0.8768486379173064
eventMeanConcentration,0.018208413190693846,0.014618685095131692,0.02226521044237716
HillslopeFineSDR,0.01553167877872059,0.012321561296106037,0.019102513376672153
RiparianVegPercent,0.08556120077127724,0.06900979101276646,0.10265559064223416
USLE_HSDR_Fine,0.05135604906278249,0.042401760946524744,0.0618643687595922
A3,0.0002920728836937198,9.020670099413612e-05,0.000733579094062241
RainThreshold,0.0009077699112452869,0.0005409757457270661,0.0014533935395037545
Beta,0.06392137819179096,0.05256842054803014,0.08087172011279435
LongTermAvDailyFlow,0.021682117886892862,0.016846869756478908,0.027296306235595705
Gully_Management_Practice_Factor,0.00030358119399857516,8.375626613566262e-05,0.0007493178877256724
maxRiparianVegEffectiveness,0.0002232382601262007,5.376036149605003e-05,0.0006075293483953089
