,ST
BankFullFlow,0.15535007879694887
bankErosionCoeff,0.379453121823318
BankHeight_M,0.03700653645912401
bankMgtFactor,0.017519663495811046
eventMeanConcentration,0.016511822712325916
HillSlopeFinePerc,0.0019884974443062607
HillslopeFineSDR,0.046782507027947715
Load_Conversion_Factor,0.002315799089669932
RiparianVegPercent,0.0651157914783597
sedBulkDensity,0.005524719179103723
SoilErodibility,0.021981353623606967
SoilPercentFine,0.01841952713227763
USLE_HSDR_Fine,0.04016959031166754
A3,0.0014056908025531396
RainThreshold,0.002377988523007664
Beta,0.20803150704211565
LinkLength_M,0.0016993881680531819
Link_Slope,0.005299369850892879
LongTermAvDailyFlow,0.017613291213586145
Gully_Management_Practice_Factor,0.0018535062001852876
Gully_SDR_Fine,0.001545912311282665
maxRiparianVegEffectiveness,0.0016038296476696544
dummy,0.0018754413915891407
