index,mean,error_lower,error_upper
nsample_104,0.2769,0.0411,0.6271
nsample_117,0.1823,0.0196,0.463
nsample_130,0.0759,0.0033,0.2911
nsample_143,0.0104,0.0021,0.0409
nsample_156,0.0055,0.002,0.0115
nsample_169,0.0045,0.0019,0.0084
nsample_182,0.0042,0.002,0.0074
nsample_195,0.0037,0.002,0.0063
nsample_208,0.0036,0.002,0.0059
nsample_221,0.0034,0.002,0.0054
nsample_234,0.0033,0.002,0.0051
nsample_247,0.0033,0.0021,0.0049
nsample_260,0.0032,0.0021,0.0046
nsample_273,0.0032,0.0021,0.0046
nsample_286,0.0031,0.0021,0.0044
nsample_299,0.0032,0.0022,0.0044
nsample_312,0.004,0.0027,0.0057
nsample_325,0.0046,0.0031,0.0064
nsample_338,0.0051,0.0036,0.007
nsample_351,0.0055,0.0039,0.0073
nsample_364,0.0059,0.0043,0.0077
nsample_377,0.0061,0.0045,0.0078
nsample_390,0.0062,0.0047,0.008
