index,mean,error_lower,error_upper
nsample_104,0.18,0.0272,0.4014
nsample_117,0.157,0.0283,0.3442
nsample_130,0.1,0.0033,0.3322
nsample_143,0.0133,0.0021,0.0635
nsample_156,0.0057,0.002,0.0115
nsample_169,0.0045,0.0019,0.0088
nsample_182,0.0042,0.002,0.0074
nsample_195,0.0038,0.002,0.0063
nsample_208,0.0036,0.002,0.0059
nsample_221,0.0034,0.002,0.0054
nsample_234,0.0033,0.002,0.0052
nsample_247,0.0033,0.0021,0.0048
nsample_260,0.0032,0.0021,0.0046
nsample_273,0.0032,0.0021,0.0045
nsample_286,0.0031,0.0021,0.0044
nsample_299,0.0032,0.0022,0.0044
nsample_312,0.004,0.0026,0.0056
nsample_325,0.0046,0.0031,0.0064
nsample_338,0.0051,0.0035,0.007
nsample_351,0.0055,0.0039,0.0073
nsample_364,0.0059,0.0043,0.0078
nsample_377,0.0061,0.0044,0.0078
nsample_390,0.0063,0.0047,0.008
