,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0
10,1.0,1.0,0.26746290615916546,0.26878572258040145,0.2693787745551147,0.2679281308426067,0.2675643939030248,0.2679060613640575,0.2678369554586044,0.26848563014417137,0.2679800630659914
9,1.0,1.0,0.12763835488226882,0.12925486923928453,0.12932731260770625,0.12810607564973686,0.12599445167239642,0.12721916982979486,0.12716504136049234,0.12733311951297266,0.12727571666608783
8,1.0,1.0,0.12763835488226882,0.08220517105362801,0.0818078111773104,0.08113872756138585,0.08014611401619565,0.07996802851294582,0.07976926569523124,0.08154362381132241,0.08208503267629819
7,1.0,1.0,0.12763835488226882,0.08220517105362801,0.0818078111773104,0.07123978742790238,0.07086121239257803,0.07045952193047078,0.06944504667790863,0.07131255302455997,0.07173974501164881
6,1.0,1.0,0.12763835488226882,0.0691091858798556,0.07070795068299363,0.06897403058697804,0.06862781381282723,0.06919556913289238,0.0693600821024768,0.06951445274034618,0.06989273156827402
5,1.0,1.0,0.12763835488226882,0.0691091858798556,0.07070795068299363,0.05001063823955365,0.06862781381282723,0.0509108736844438,0.052060805137952415,0.05253694889049676,0.05184914060297163
4,1.0,1.0,0.12763835488226882,0.018703624800270435,-0.01444652114159406,-0.014200526475088182,-0.013964649460928902,-0.013722981661707045,-0.013842604309917128,-0.014085724214714768,-0.013804189837967495
3,1.0,1.0,0.12763835488226882,0.018703624800270435,0.014872636260806815,0.010827360092350746,0.01071504230260445,0.010788068390992,0.01205750268717265,0.01242766437418319,0.011641650901427214
2,1.0,1.0,0.12763835488226882,0.018703624800270435,-0.009019228000567647,0.010827360092350746,0.01071504230260445,0.010788068390992,0.01205750268717265,0.01242766437418319,0.011641650901427214
1,1.0,1.0,-0.015001890491201708,0.018703624800270435,0.005993457797169199,0.010827360092350746,0.01071504230260445,0.010788068390992,0.01205750268717265,0.01242766437418319,0.011641650901427214
