,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.70559297,27735761.385295566,27714472.56486042,27734357.955429893,27744116.101241875,27743461.83140345,27754026.335605804,27751107.67599272,27755704.86690615,27754315.88894044,27753384.446262784
10,27735018.70559297,27735761.385295566,22672676.927841485,22687121.239830643,22683342.02814748,22674947.3068196,22679824.93837281,22685962.639743492,22696314.780386206,22690540.74503083,22687303.607623093
9,27735018.70559297,27735761.385295566,20256370.632724416,20271545.824338607,20265054.105013534,20256722.49592366,20247185.740431968,20253880.969305668,20265697.89675139,20267383.079431675,20270696.44497133
8,27735018.70559297,27735761.385295566,20256370.632724416,20178948.527351614,20168461.175219163,20162221.49278579,20152952.366106935,20158229.406451877,20168359.06803981,20172648.840516407,20174126.67349259
7,27735018.70559297,27735761.385295566,20256370.632724416,20178948.527351614,20168461.175219163,20077924.34197272,20081329.36655493,20083400.025269568,20089546.643523652,20091077.866270415,20087710.812523037
6,27735018.70559297,27735761.385295566,20256370.632724416,20099970.483133536,20088016.39090948,20084805.06907322,20088459.88296098,20093434.16503763,20102625.544191208,20105045.723133,20104673.72071461
5,27735018.70559297,27735761.385295566,20256370.632724416,20099970.483133536,20088016.39090948,20113085.057301324,20088459.88296098,20120813.163683206,20129169.08280704,20132620.079986572,20129241.361808155
4,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19960282.619400904,19963977.223827776,19960167.30890802,19966813.646974634,19978472.819081377,19977010.61098468,19967614.372852236
3,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19960282.619400904,19965029.398626074,19962817.844093274,19970762.82433389,19979991.05276061,19976260.85237135,19968612.98315975
2,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19952913.89099679,19965029.398626074,19962817.844093274,19970762.82433389,19979991.05276061,19976260.85237135,19968612.98315975
1,27735018.70559297,27735761.385295566,20016250.714200705,19967325.685261536,19952913.89099679,19965029.398626074,19962817.844093274,19970762.82433389,19979991.05276061,19976260.85237135,19968612.98315975
