,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346,27754026.33560581,27751107.675992712,27755704.866906144,27754315.88894043,27753384.44626278
10,27735018.705592964,27735761.38529556,22496707.740846567,22510769.12520481,22506283.28162745,22497204.42802231,22501795.231211383,22508584.395271316,22519210.093856193,22513009.265848592,22509701.674347047
9,27735018.705592964,27735761.38529556,19773751.605386157,19787870.841499586,19779363.056920502,19771601.615428235,19757751.43628705,19764237.49177324,19777534.883600917,19781411.400581297,19786555.384085495
8,27735018.705592964,27735761.38529556,19773751.605386157,19695031.548941173,19686143.160819344,19678033.90065025,19665776.94856381,19672619.37718979,19684260.38743437,19688831.697183244,19693766.46349563
7,27735018.705592964,27735761.38529556,19773751.605386157,19695031.548941173,19686143.160819344,19548549.631293684,19535164.050754923,19550874.968696304,19565249.2827522,19564329.462140225,19561465.314364098
6,27735018.705592964,27735761.38529556,19773751.605386157,19616325.504767656,19608746.481538676,19605512.11048383,19580495.960596584,19590592.28149085,19604646.00844642,19608450.56315522,19610822.979950994
5,27735018.705592964,27735761.38529556,19773751.605386157,19616325.504767656,19608746.481538676,19775030.070914403,19580495.960596584,19765389.56184083,19782506.046239477,19795531.115288008,19801579.565312956
4,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19519406.5625277,19509121.47841353,19512795.440113265,19533259.131426565,19540700.54595197,19535145.215674743,19525392.556446612
3,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19519406.5625277,19525702.10541737,19509571.582465734,19518790.409488235,19536663.190988094,19536849.710130487,19532973.232491013
2,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19490557.877703346,19525702.10541737,19509571.582465734,19518790.409488235,19536663.190988094,19536849.710130487,19532973.232491013
1,27735018.705592964,27735761.38529556,19558293.822963603,19500987.61956884,19490557.877703346,19525702.10541737,19509571.582465734,19518790.409488235,19536663.190988094,19536849.710130487,19532973.232491013
