,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346,27754026.33560581,27751107.675992712,27755704.866906144,27754315.88894043,27753384.44626278
10,27735018.705592964,27735761.38529556,22805583.47588425,22820310.29564284,22817056.65017253,22809164.24936121,22814255.44596634,22819912.768936206,22830060.823458042,22824599.619834688,22821416.0435668
9,27735018.705592964,27735761.38529556,20727364.60135491,20743016.668774888,20738150.238699444,20731310.641181998,20721861.509965062,20726944.204668142,20738019.87686214,20740492.854651727,20744144.67092786
8,27735018.705592964,27735761.38529556,20727364.60135491,20777443.661491662,20769181.271317754,20764048.85920773,20762513.77080575,20762442.820567947,20765087.304446228,20771849.23073016,20777352.71748502
7,27735018.705592964,27735761.38529556,20727364.60135491,20777443.661491662,20769181.271317754,20467802.70572737,20484319.38756212,20480603.97973319,20487269.694334608,20484990.311357193,20474424.302454293
6,27735018.705592964,27735761.38529556,20727364.60135491,20494178.70458705,20485655.9628913,20479467.485221833,20480447.248566378,20485841.841899697,20489171.496099174,20501509.845234104,20506442.42243743
5,27735018.705592964,27735761.38529556,20727364.60135491,20494178.70458705,20485655.9628913,20380472.533205464,20480447.248566378,20386727.214255475,20395843.319090758,20393142.86767471,20402978.21568354
4,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20452399.09085308,20439521.282338597,20433960.051900923,20434584.66949911,20443084.99888295,20453756.367111888,20467026.744609803
3,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20452399.09085308,20462068.039617725,20429333.169320717,20437323.62832695,20448429.111388054,20459040.251720663,20460397.928627886
2,27735018.705592964,27735761.38529556,20727364.60135491,20467197.04827658,20472186.03268919,20462068.039617725,20429333.169320717,20437323.62832695,20448429.111388054,20459040.251720663,20460397.928627886
1,27735018.705592964,27735761.38529556,20427464.593212485,20467197.04827658,20472186.03268919,20462068.039617725,20429333.169320717,20437323.62832695,20448429.111388054,20459040.251720663,20460397.928627886
