,0,1
nsample_104,20008407.312057927,36206740.183699444
nsample_117,19934629.953032896,36232917.279524386
nsample_130,20031586.372669123,36097130.145227715
nsample_143,19972370.45517868,36122634.72894117
nsample_156,19967711.879707947,35987702.68949471
nsample_169,19991470.700746775,36000243.0884349
nsample_182,19999399.65276474,36006134.99208855
nsample_195,20008949.443118468,35998337.1312886
nsample_208,20032136.411513604,36019829.46383454
nsample_221,20041295.582710367,35997058.0950525
nsample_234,20013444.826765817,36011583.13645292
