,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.70559297,27735761.385295566,27714472.56486042,27734357.955429893,27744116.101241875,27743461.83140345,27754026.335605804,27751107.675992712,27755704.86690615,27754315.88894044,27753384.446262784
10,27735018.70559297,27735761.385295566,35498377.05808428,35505907.94207301,35511389.00108044,35478172.22575892,35488017.25162195,35507178.254104495,35510707.42812528,35486653.86634729,35490359.47684477
9,27735018.70559297,27735761.385295566,35499619.40386084,35505439.87055565,35504821.8948766,35477427.33319268,35484980.852234714,35501368.24613637,35511754.0063938,35494784.99482739,35500159.1122212
8,27735018.70559297,27735761.385295566,35499619.40386084,35960412.94243926,35952292.115593016,35931186.161219575,35938514.458887234,35958459.35841883,35961873.33448329,35944943.21253949,35946597.49319097
7,27735018.70559297,27735761.385295566,35499619.40386084,35960412.94243926,35952292.115593016,35958937.41366054,35964799.80744121,35986429.14390144,35989806.71570082,35973650.62589233,35976325.87735652
6,27735018.70559297,27735761.385295566,35499619.40386084,35894149.51272461,35881952.84859273,35861231.07357341,35869828.568614654,35887148.61560883,35884297.26119823,35870368.16131681,35875019.466255575
5,27735018.70559297,27735761.385295566,35499619.40386084,35894149.51272461,35881952.84859273,36082178.72356099,35869828.568614654,36100079.73632919,36096677.99621397,36085554.4741638,36091029.5415009
4,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36160922.20794023,36142695.93234023,36148820.70114172,36170741.644452,36175946.86463562,36162544.02611363,36165120.982352614
3,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36160922.20794023,36123246.57826192,36134777.55573107,36157456.224374026,36159436.12831728,36144737.00951112,36149813.27604678
2,27735018.70559297,27735761.385295566,35499619.40386084,36165681.13581966,36148650.526182435,36123246.57826192,36134777.55573107,36157456.224374026,36159436.12831728,36144737.00951112,36149813.27604678
1,27735018.70559297,27735761.385295566,36199277.08093515,36165681.13581966,36148650.526182435,36123246.57826192,36134777.55573107,36157456.224374026,36159436.12831728,36144737.00951112,36149813.27604678
