,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346,27754026.33560581,27751107.675992712,27755704.866906144,27754315.88894043,27753384.44626278
10,27735018.705592964,27735761.38529556,34793099.33409039,34802792.090548694,34809925.2672747,34781894.65760922,34792281.99995094,34807631.1429451,34810864.462861024,34790342.90130137,34793574.2489071
9,27735018.705592964,27735761.38529556,34769439.500036515,34780543.45759455,34780450.66018786,34769376.067006014,34782664.69677702,34788855.58761743,34803794.271614015,34799769.070864804,34803828.55654719
8,27735018.705592964,27735761.38529556,34769439.500036515,35329337.075440094,35339688.94353801,35299433.86862608,35299607.513784915,35331183.602646366,35327318.07262856,35302478.425837606,35308836.66159373
7,27735018.705592964,27735761.38529556,34769439.500036515,35329337.075440094,35339688.94353801,35156799.892588966,35160555.23860209,35159809.09270707,35147937.97431878,35126847.87083927,35142952.824272506
6,27735018.705592964,27735761.38529556,34769439.500036515,35140082.874197535,35134535.21405288,35141091.53548457,35161861.82437471,35171684.24640413,35174865.91705478,35169946.75543087,35174087.83711075
5,27735018.705592964,27735761.38529556,34769439.500036515,35140082.874197535,35134535.21405288,35054289.59204108,35161861.82437471,35062152.094351225,35075199.33583014,35076927.58646878,35083557.30771059
4,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35269847.84819764,35235849.68549341,35219592.32603007,35206426.00884351,35218359.555716455,35218003.373859234,35223020.34036218
3,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35269847.84819764,35116527.29562238,35150660.24250639,35141282.39905797,35128353.693617456,35093887.075626776,35102424.62565169
2,27735018.705592964,27735761.38529556,34769439.500036515,35222508.72858802,35211464.10813244,35116527.29562238,35150660.24250639,35141282.39905797,35128353.693617456,35093887.075626776,35102424.62565169
1,27735018.705592964,27735761.38529556,35295126.24848845,35222508.72858802,35211464.10813244,35116527.29562238,35150660.24250639,35141282.39905797,35128353.693617456,35093887.075626776,35102424.62565169
