,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0,0,0,0,0,0,0,-2.30E-16,0,0,0
10,,,0.794022764,0.791765587,0.793331743,0.792701563,0.792335908,0.792511339,0.792314497,0.791471636,0.791451878
9,,,0.943394982,0.940634864,0.942177806,0.942072017,0.942328497,0.942177779,0.942355747,0.941545029,0.941138445
8,,,,0.974250604,0.975609494,0.975799423,0.976008934,0.976131451,0.975997881,0.975035264,0.974495136
7,,,,,,0.982854284,0.982175245,0.982606554,0.982724587,0.981989517,0.981805071
6,,,,,0.976134664,0.976167764,0.975649536,0.975639634,0.975167457,0.97450699,0.974268916
5,,,,,,0.987784758,0.975649536,0.986805006,0.986369452,0.98582663,0.985813202
4,,,,0.999381965,1.000762842,1.000563077,1.000369447,1.000500295,1.000394612,1.000015477,1.000181412
3,,,,,,0.999324479,0.999367019,0.999466107,0.999305644,0.99898608,0.999199431
2,,,,,1.000478054,,,,,0.99898608,
1,,,1.000723147,,,,,,,,
