,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.459624901344733e-16,0.0,0.0,0.0
10,0.0,0.0,0.7325370938408345,0.7312142774195985,0.7306212254448853,0.7320718691573933,0.7324356060969752,0.7320939386359425,0.7321630445413956,0.7315143698558286,0.7320199369340086
9,0.0,0.0,0.8723616451177312,0.8707451307607155,0.8706726873922938,0.8718939243502631,0.8740055483276036,0.8727808301702051,0.8728349586395077,0.8726668804870273,0.8727242833339122
8,0.0,0.0,0.8723616451177312,0.9177948289463721,0.9181921888226895,0.9188612724386142,0.9198538859838045,0.9200319714870542,0.9202307343047688,0.9184563761886775,0.9179149673237018
7,0.0,0.0,0.8723616451177312,0.9177948289463721,0.9181921888226895,0.9287602125720975,0.9291387876074219,0.9295404780695293,0.9305549533220914,0.9286874469754399,0.9282602549883512
6,0.0,0.0,0.8723616451177312,0.9308908141201445,0.9292920493170063,0.9310259694130221,0.9313721861871728,0.9308044308671075,0.9306399178975231,0.9304855472596538,0.9301072684317259
5,0.0,0.0,0.8723616451177312,0.9308908141201445,0.9292920493170063,0.9499893617604463,0.9313721861871728,0.9490891263155562,0.9479391948620476,0.9474630511095032,0.9481508593970285
4,0.0,0.0,0.8723616451177312,0.9812963751997296,0.9851273637391933,0.9852567960951524,0.9849330859488598,0.9844354139658398,0.9840794490786426,0.9838122356681683,0.9845235482830678
3,0.0,0.0,0.8723616451177312,0.9812963751997296,0.9851273637391933,0.9891726399076493,0.9892849576973956,0.9892119316090079,0.9879424973128274,0.9875723356258169,0.9883583490985728
2,0.0,0.0,0.8723616451177312,0.9812963751997296,0.9940065422028309,0.9891726399076493,0.9892849576973956,0.9892119316090079,0.9879424973128274,0.9875723356258169,0.9883583490985728
1,0.0,0.0,0.9847682151994265,0.9812963751997296,0.9940065422028309,0.9891726399076493,0.9892849576973956,0.9892119316090079,0.9879424973128274,0.9875723356258169,0.9883583490985728
