,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1190052141782888e-16,0.0,0.0,0.0
10,0.0,0.0,0.8512625449843015,0.8485038087273316,0.8516567332735387,0.8504310801154027,0.8489901365469729,0.8488181076497567,0.8486922408604639,0.848809322860587,0.8481631651026139
9,0.0,0.0,1.0113581107743623,1.0082246499881216,1.0102988095311458,1.009851688924003,1.0092946609680136,1.0091933481603454,1.0092851454711824,1.008371163589622,1.007532932635905
8,0.0,0.0,1.0113581107743623,1.0246629055601617,1.02468084292646,1.025501315221994,1.0253772808071564,1.0245999814794038,1.025093845287083,1.0250375674922525,1.0243665516503995
7,0.0,0.0,1.0113581107743623,1.0246629055601617,1.02468084292646,1.033851869938533,1.0324216802187944,1.0332797862264078,1.0322813451409478,1.0329161545025138,1.0321755338502385
6,0.0,0.0,1.0113581107743623,1.0196447590936044,1.018960309671673,1.019706100729683,1.018525168599886,1.018829092717925,1.0177796674240924,1.017737673680612,1.0171536599963193
5,0.0,0.0,1.0113581107743623,1.0196447590936044,1.018960309671673,1.0244164079317484,1.018525168599886,1.024809951644058,1.0248072655622729,1.0245193824608396,1.025676657405933
4,0.0,0.0,1.0113581107743623,1.0143980341446601,1.014446521141594,1.0142005264750882,1.0139646494609287,1.013722981661707,1.0138426043099171,1.0140857242147148,1.0138041898379675
3,0.0,0.0,1.0113581107743623,1.0143980341446601,1.014446521141594,1.010276901003479,1.0127037276998638,1.0123920580003165,1.0117894181469689,1.0122186170614036,1.0117188749160204
2,0.0,0.0,1.0113581107743623,1.0143980341446601,1.0090192280005676,1.010276901003479,1.0127037276998638,1.0123920580003165,1.0117894181469689,1.0122186170614036,1.0117188749160204
1,0.0,0.0,1.0150018904912015,1.0143980341446601,1.0090192280005676,1.010276901003479,1.0127037276998638,1.0123920580003165,1.0117894181469689,1.0122186170614036,1.0117188749160204
