,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,27735018.705592964,27735761.385295555,27714472.564860422,27734357.955429886,27744116.10124186,27743461.831403464,27754026.335605808,27751107.67599271,27755704.86690614,27754315.888940435,27753384.446262784
10,27735018.705592964,27735761.385295555,31706485.242647965,31685447.07784941,31737043.036222532,31721826.263604376,31935933.14493413,31928991.12807637,31921238.954081077,31936995.376262095,31884546.924606837
9,27735018.705592964,27735761.385295555,28931897.742996622,28878964.785124935,29001413.01961752,28934121.538977932,29121354.044483457,29152922.61059143,29156424.50855927,29155621.843860663,29114915.10381755
8,27735018.705592964,27735761.385295555,28931897.742996622,30499661.157535743,30608513.977878038,30581497.29036058,30734830.53455489,30741885.99945966,30709428.458703704,30706951.39657827,30692104.948000655
7,27735018.705592964,27735761.385295555,28931897.742996622,30499661.157535743,30608513.977878038,28477588.692346513,28638740.07308202,28655503.00277148,28621581.12090066,28617782.479018185,28604143.906087205
6,27735018.705592964,27735761.385295555,28931897.742996622,27053330.433500163,27127553.765882596,27113376.90942787,27219769.605383374,27231810.18377383,27217185.261887923,27200823.91851199,27191681.547076397
5,27735018.705592964,27735761.385295555,28931897.742996622,27053330.433500163,27127553.765882596,27919625.133773655,27219769.605383374,28030525.46917406,28008579.02046221,27978566.140415903,27980843.28689664
4,27735018.705592964,27735761.385295555,28931897.742996622,27025186.118570507,27088057.4422319,27047563.229121853,27098671.535671785,27114339.54226305,27085792.43967734,27068154.786319148,27084544.525454547
3,27735018.705592964,27735761.385295555,28931897.742996622,27025186.118570507,27088057.4422319,27380132.574717183,27390818.50871382,27394301.076239318,27381477.72733525,27363107.96810323,27369280.155623436
2,27735018.705592964,27735761.385295555,28931897.742996622,27025186.118570507,27371923.597205218,27380132.574717183,27390818.50871382,27394301.076239318,27381477.72733525,27363107.96810323,27369280.155623436
1,27735018.705592964,27735761.385295555,27070903.05221299,27025186.118570507,27371923.597205218,27380132.574717183,27390818.50871382,27394301.076239318,27381477.72733525,27363107.96810323,27369280.155623436
