,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0.07276189512825765,0.07283282609324211,0.07322599865369847,0.07350062286060859,0.07487459657390462,0.0746422067835573,0.07417682766916539,0.07389719855399993,0.07415048535991182
9,0,0,0.10991557204294614,0.1105733631030182,0.1097054106312464,0.11081234284403844,0.11203302602489609,0.11117932016457248,0.11048926220113588,0.11036788006228059,0.11040820252885324
8,0,0,0.10991557204294614,0.12567923770441533,0.12467436677758426,0.12567606786536936,0.1265107561415856,0.12595878393409426,0.12544407937573337,0.1251001067592804,0.12516183770162967
7,0,0,0.10991557204294614,0.12567923770441533,0.12467436677758426,0.13828843687828413,0.13875578665520133,0.13849526426344946,0.13813641386619077,0.13774370324284216,0.13780939859051114
6,0,0,0.10991557204294614,0.14282757199253177,0.1422931532944943,0.14322652451589146,0.14366632281867273,0.1436472331886638,0.14309783466631462,0.14273772502694085,0.14269497886172816
5,0,0,0.10991557204294614,0.14282757199253177,0.1422931532944943,0.15093616320821604,0.14366632281867273,0.15121576809032383,0.15069343949694505,0.15033228348823197,0.15022859484485832
4,0,0,0.10991557204294614,0.15649208946585028,0.15700757203352333,0.15728231426617342,0.15750157332642137,0.15778729804856223,0.15736005140695072,0.15697853963026992,0.15676461924727852
3,0,0,0.10991557204294614,0.15649208946585028,0.15700757203352333,0.15495730747269484,0.1556966746421734,0.1559755382711753,0.15561244397111682,0.15517417412274684,0.1551124333923742
2,0,0,0.10991557204294614,0.15649208946585028,0.1561949564111784,0.15495730747269484,0.1556966746421734,0.1559755382711753,0.15561244397111682,0.15517417412274684,0.1551124333923742
1,0,0,0.1577343287276628,0.15649208946585028,0.1561949564111784,0.15495730747269484,0.1556966746421734,0.1559755382711753,0.15561244397111682,0.15517417412274684,0.1551124333923742
