,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.5699559999999999,0.566988,0.568049,0.5689590000000001,0.5699489999999999,0.5689829999999999,0.570009,0.5680429999999999,0.569009,0.5690689999999999,0.5690689999999999
10,0.5699559999999999,0.566988,0.123973,0.124684,0.125373,0.12457200000000002,0.125025,0.12494400000000001,0.125278,0.124807,0.125034
9,0.5699559999999999,0.566988,0.05272,0.05289200000000001,0.05277900000000001,0.05260900000000001,0.05251800000000001,0.05264800000000001,0.05311600000000001,0.05296300000000001,0.05310800000000001
8,0.5699559999999999,0.566988,0.05272,0.043822,0.043543000000000005,0.04364600000000001,0.043659,0.043745000000000006,0.04371900000000001,0.04364500000000001,0.04368700000000001
7,0.5699559999999999,0.566988,0.05272,0.043822,0.043543000000000005,0.032179,0.03200200000000001,0.03211200000000001,0.03200700000000001,0.031823000000000004,0.03198600000000001
6,0.5699559999999999,0.566988,0.05272,0.027346000000000006,0.027447000000000006,0.027962000000000008,0.028126000000000005,0.02767600000000001,0.026914000000000004,0.026942000000000008,0.026904000000000008
5,0.5699559999999999,0.566988,0.05272,0.027346000000000006,0.027447000000000006,0.023284000000000003,0.028126000000000005,0.022994000000000004,0.022952,0.022974000000000005,0.023061000000000005
4,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.014235000000000003,0.014216000000000005,0.014014000000000002,0.013680000000000005,0.013350000000000002,0.013447000000000004,0.013219000000000003
3,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.014235000000000003,0.012630000000000002,0.012383000000000003,0.011867,0.010863000000000001,0.010908,0.010735000000000001
2,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.011246000000000003,0.012630000000000002,0.012383000000000003,0.011867,0.010863000000000001,0.010908,0.010735000000000001
1,0.5699559999999999,0.566988,0.014106000000000004,0.014313000000000003,0.011246000000000003,0.012630000000000002,0.012383000000000003,0.011867,0.010863000000000001,0.010908,0.010735000000000001
