,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.54,0.536975,0.538,0.5399750000000001,0.54,0.539,0.54,0.538,0.539,0.538975,0.538975
10,0.54,0.536975,0.103,0.103,0.104,0.103,0.103,0.104,0.104,0.103975,0.104
9,0.54,0.536975,0.038,0.038,0.038,0.038,0.037,0.038,0.038,0.038,0.038
8,0.54,0.536975,0.038,0.032,0.032,0.032,0.032,0.031,0.031,0.031,0.031975
7,0.54,0.536975,0.038,0.032,0.032,0.023,0.023,0.022975,0.023,0.022975,0.023
6,0.54,0.536975,0.038,0.02,0.02,0.02,0.02,0.02,0.019975,0.019,0.019
5,0.54,0.536975,0.038,0.02,0.02,0.017,0.02,0.017,0.017,0.017,0.017
4,0.54,0.536975,0.038,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01
3,0.54,0.536975,0.038,0.011,0.011,0.01,0.01,0.009,0.008,0.009,0.008
2,0.54,0.536975,0.038,0.011,0.009,0.01,0.01,0.009,0.008,0.009,0.008
1,0.54,0.536975,0.011,0.011,0.009,0.01,0.01,0.009,0.008,0.009,0.008
