,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,0.6,0.598,0.598,0.6000249999999999,0.601,0.5990249999999999,0.6,0.598025,0.6,0.599,0.599
10,0.6,0.598,0.148,0.148,0.149,0.148,0.148,0.148025,0.148025,0.148,0.148025
9,0.6,0.598,0.069,0.06902499999999998,0.06902499999999998,0.069,0.069,0.06902499999999998,0.07,0.07,0.07
8,0.6,0.598,0.069,0.058,0.058,0.05702499999999998,0.057,0.058,0.058,0.058,0.058
7,0.6,0.598,0.069,0.058,0.058,0.044,0.043,0.043,0.043,0.043,0.043
6,0.6,0.598,0.069,0.038,0.037,0.038,0.039,0.038,0.037,0.038,0.037
5,0.6,0.598,0.069,0.038,0.037,0.032,0.039,0.031,0.031,0.031,0.031
4,0.6,0.598,0.069,0.019,0.019,0.018,0.018,0.018,0.017,0.017024999999999978,0.017
3,0.6,0.598,0.069,0.019,0.019,0.017,0.016,0.016,0.015,0.015,0.015
2,0.6,0.598,0.069,0.019,0.015,0.017,0.016,0.016,0.015,0.015,0.015
1,0.6,0.598,0.018,0.019,0.015,0.017,0.016,0.016,0.015,0.015,0.015
