,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,2.9588128048159514e-126,3.1106736369180635e-127,2.960423013166571e-126,9.367069577219173e-127,9.31383942596634e-128,9.367193121810184e-127,9.33335051874937e-128,9.326415882229733e-126,9.36797462870351e-127,9.324599144037603e-126,9.324599144037603e-126
10,2.9588128048159514e-126,3.1106736369180635e-127,6.874058764745368e-06,5.7428351007804055e-06,5.245996452992082e-06,6.090860680582003e-06,5.521817341760589e-06,5.352989016795431e-06,4.941125546602762e-06,5.310392721355679e-06,5.108179787567332e-06
9,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.15723190558651645,0.158581234645173,0.1609377637158869,0.16252221676482467,0.1601198229527521,0.15501951750435677,0.1567540697422679,0.1545765797319591
8,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.3242950246544667,0.3312289475466325,0.32900727038622185,0.32930969767838736,0.32715387631843795,0.32798993656891207,0.33008883384956667,0.3287213808650711
7,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.3242950246544667,0.3312289475466325,0.675033071653907,0.6805403212981627,0.677217542351294,0.6807451080220376,0.6867466429444185,0.6813568566600274
6,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.8269493726147243,0.8246941426774165,0.8084934557069028,0.8033366361570418,0.8177373308725785,0.8399207649776506,0.8386606667229388,0.8397069461538536
5,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.8269493726147243,0.8246941426774165,0.9267288546631803,0.8033366361570418,0.9331513237328136,0.9339800811387579,0.9346887137844236,0.9332489441542504
4,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9994657952676717,0.9995461945407214,0.9995986117437223,0.9997508292195828,0.9998001671115635,0.9997725658296401,0.9998430529664619
3,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9994657952676717,0.999868716209274,0.9998899437446171,0.99993985932743,0.9999830985002836,0.9999808671156918,0.9999807697007093
2,2.9588128048159514e-126,3.1106736369180635e-127,0.1603401005885585,0.999378822962635,0.9999681854562812,0.999868716209274,0.9998899437446171,0.99993985932743,0.9999830985002836,0.9999808671156918,0.9999807697007093
1,2.9588128048159514e-126,3.1106736369180635e-127,0.99950830652188,0.999378822962635,0.9999681854562812,0.999868716209274,0.9998899437446171,0.99993985932743,0.9999830985002836,0.9999808671156918,0.9999807697007093
