,median,mean
1000,28076080.54467434,27278679.40983846
1500,28075376.586116754,27278679.40983846
2000,27983509.48902118,27278679.40983846
2500,28301430.441258717,27278679.40983846
3000,28126381.127575327,27278679.40983846
3500,28082575.355303224,27278679.40983846
4000,28055138.92036363,27278679.40983846
4500,27976399.963823065,27278679.40983846
5000,28095723.116142374,27278679.40983846
5500,28156751.72081434,27278679.40983846
6000,28019530.44726374,27278679.40983846
6500,28090712.620580267,27278679.40983846
7000,28236681.286106136,27278679.40983846
7500,28207857.099619403,27278679.40983846
8000,28212113.353442054,27278679.40983846
8500,28123837.42518093,27278679.40983846
9000,28276576.34213073,27278679.40983846
9500,28069896.78085498,27278679.40983846
10000,28255096.61495418,27278679.40983846
