,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,0.26746290615916546,0.26878572258040145,0.2693787745551147,0.2679281308426067
9,1.0,1.0,0.12763835488226882,0.12925486923928453,0.12932731260770625,0.12810607564973686
8,1.0,1.0,0.12763835488226882,0.08220517105362801,0.0818078111773104,0.08113872756138585
7,1.0,1.0,0.12763835488226882,0.08220517105362801,0.0818078111773104,0.07123978742790238
6,1.0,1.0,0.12763835488226882,0.0691091858798556,0.07070795068299363,0.06897403058697804
5,1.0,1.0,0.12763835488226882,0.0691091858798556,0.07070795068299363,0.05001063823955365
4,1.0,1.0,0.12763835488226882,0.018703624800270435,-0.01444652114159406,-0.014200526475088182
3,1.0,1.0,0.12763835488226882,0.018703624800270435,-0.01444652114159406,0.010827360092350746
2,1.0,1.0,0.12763835488226882,0.018703624800270435,-0.009019228000567647,0.010827360092350746
1,1.0,1.0,-0.015001890491201708,0.018703624800270435,-0.009019228000567647,0.010827360092350746
