,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.7940227635824094,0.7917655867673875,0.793331743029391,0.7927015625652795
9,0.0,0.0,0.943394982495383,0.9406348635943057,0.9421778058745847,0.9420720168483981
8,0.0,0.0,0.943394982495383,0.9742506043878809,0.9756094942903828,0.9757994230802984
7,0.0,0.0,0.943394982495383,0.9742506043878809,0.9756094942903828,0.9828542837871462
6,0.0,0.0,0.943394982495383,0.9749331069647109,0.9761346643494275,0.97616776359097
5,0.0,0.0,0.943394982495383,0.9749331069647109,0.9761346643494275,0.9877847575452142
4,0.0,0.0,0.943394982495383,0.999381965277337,1.0007628415087688,1.0005630774042706
3,0.0,0.0,0.943394982495383,0.999381965277337,1.0007628415087688,0.9993244794894878
2,0.0,0.0,0.943394982495383,0.999381965277337,1.000478053947739,0.9993244794894878
1,0.0,0.0,1.0007231467606619,0.999381965277337,1.000478053947739,0.9993244794894878
