,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0,0,0.0,0.0,0.0,0.0
10,0,0,0.07276189512825765,0.07283282609324211,0.07322599865369847,0.07350062286060859
9,0,0,0.10991557204294614,0.1105733631030182,0.1097054106312464,0.11081234284403844
8,0,0,0.10991557204294614,0.12567923770441533,0.12467436677758426,0.12567606786536936
7,0,0,0.10991557204294614,0.12567923770441533,0.12467436677758426,0.13828843687828413
6,0,0,0.10991557204294614,0.14282757199253177,0.1422931532944943,0.14322652451589146
5,0,0,0.10991557204294614,0.14282757199253177,0.1422931532944943,0.15093616320821604
4,0,0,0.10991557204294614,0.15649208946585028,0.15700757203352333,0.15728231426617342
3,0,0,0.10991557204294614,0.15649208946585028,0.15700757203352333,0.15495730747269484
2,0,0,0.10991557204294614,0.15649208946585028,0.1561949564111784,0.15495730747269484
1,0,0,0.1577343287276628,0.15649208946585028,0.1561949564111784,0.15495730747269484
