,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0.5699559999999999,0.566988,0.568049,0.5689590000000001,0.5699489999999999,0.5689829999999999
10,0.5699559999999999,0.566988,0.123973,0.124684,0.125373,0.12457200000000002
9,0.5699559999999999,0.566988,0.05272,0.05289200000000001,0.05277900000000001,0.05260900000000001
8,0.5699559999999999,0.566988,0.05272,0.043822,0.043543000000000005,0.04364600000000001
7,0.5699559999999999,0.566988,0.05272,0.043822,0.043543000000000005,0.032179
6,0.5699559999999999,0.566988,0.05272,0.027346000000000006,0.027447000000000006,0.027962000000000008
5,0.5699559999999999,0.566988,0.05272,0.027346000000000006,0.027447000000000006,0.023284000000000003
4,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.014235000000000003,0.014216000000000005
3,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.014235000000000003,0.012630000000000002
2,0.5699559999999999,0.566988,0.05272,0.014313000000000003,0.011246000000000003,0.012630000000000002
1,0.5699559999999999,0.566988,0.014106000000000004,0.014313000000000003,0.011246000000000003,0.012630000000000002
