,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0.54,0.536975,0.538,0.5399750000000001,0.54,0.539
10,0.54,0.536975,0.103,0.103,0.104,0.103
9,0.54,0.536975,0.038,0.038,0.038,0.038
8,0.54,0.536975,0.038,0.032,0.032,0.032
7,0.54,0.536975,0.038,0.032,0.032,0.023
6,0.54,0.536975,0.038,0.02,0.02,0.02
5,0.54,0.536975,0.038,0.02,0.02,0.017
4,0.54,0.536975,0.038,0.011,0.011,0.011
3,0.54,0.536975,0.038,0.011,0.011,0.01
2,0.54,0.536975,0.038,0.011,0.009,0.01
1,0.54,0.536975,0.011,0.011,0.009,0.01
