,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,0.6,0.598,0.598,0.6000249999999999,0.601,0.5990249999999999
10,0.6,0.598,0.148,0.148,0.149,0.148
9,0.6,0.598,0.069,0.06902499999999998,0.06902499999999998,0.069
8,0.6,0.598,0.069,0.058,0.058,0.05702499999999998
7,0.6,0.598,0.069,0.058,0.058,0.044
6,0.6,0.598,0.069,0.038,0.037,0.038
5,0.6,0.598,0.069,0.038,0.037,0.032
4,0.6,0.598,0.069,0.019,0.019,0.018
3,0.6,0.598,0.069,0.019,0.019,0.017
2,0.6,0.598,0.069,0.019,0.015,0.017
1,0.6,0.598,0.018,0.019,0.015,0.017
