,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.70559297,27735761.385295566,27714472.56486042,27734357.955429893,27744116.101241875,27743461.83140345
10,27735018.70559297,27735761.385295566,22672676.927841485,22687121.239830643,22683342.02814748,22674947.3068196
9,27735018.70559297,27735761.385295566,20256370.632724416,20271545.824338607,20265054.105013534,20256722.49592366
8,27735018.70559297,27735761.385295566,20256370.632724416,20178948.527351614,20168461.175219163,20162221.49278579
7,27735018.70559297,27735761.385295566,20256370.632724416,20178948.527351614,20168461.175219163,20077924.34197272
6,27735018.70559297,27735761.385295566,20256370.632724416,20099970.483133536,20088016.39090948,20084805.06907322
5,27735018.70559297,27735761.385295566,20256370.632724416,20099970.483133536,20088016.39090948,20113085.057301324
4,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19960282.619400904,19963977.223827776
3,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19960282.619400904,19965029.398626074
2,27735018.70559297,27735761.385295566,20256370.632724416,19967325.685261536,19952913.89099679,19965029.398626074
1,27735018.70559297,27735761.385295566,20016250.714200705,19967325.685261536,19952913.89099679,19965029.398626074
