,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169
11,27735018.705592964,27735761.38529556,27714472.564860426,27734357.95542989,27744116.10124186,27743461.83140346
10,27735018.705592964,27735761.38529556,22496707.740846567,22510769.12520481,22506283.28162745,22497204.42802231
9,27735018.705592964,27735761.38529556,19773751.605386157,19787870.841499586,19779363.056920502,19771601.615428235
8,27735018.705592964,27735761.38529556,19773751.605386157,19695031.548941173,19686143.160819344,19678033.90065025
7,27735018.705592964,27735761.38529556,19773751.605386157,19695031.548941173,19686143.160819344,19548549.631293684
6,27735018.705592964,27735761.38529556,19773751.605386157,19616325.504767656,19608746.481538676,19605512.11048383
5,27735018.705592964,27735761.38529556,19773751.605386157,19616325.504767656,19608746.481538676,19775030.070914403
4,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19519406.5625277,19509121.47841353
3,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19519406.5625277,19525702.10541737
2,27735018.705592964,27735761.38529556,19773751.605386157,19500987.61956884,19490557.877703346,19525702.10541737
1,27735018.705592964,27735761.38529556,19558293.822963603,19500987.61956884,19490557.877703346,19525702.10541737
